metric,value,unit,scope
r1_gate_pass,0,bool,R1
r1_candidate_strength_recall_pct,0,percent,R1_protocol_mismatch
r2_gate_pass,0,bool,R2
r2_baseline_recall_pct,97.389771,percent,R2_selection_corpus
r2_candidate_recall_pct,91.661628,percent,R2_selection_corpus
r2_recall_gap_pp,5.728143,percentage_points,R2_selection_corpus
r2_baseline_non_event_pct,9.991188,percent,R2_selection_corpus
r2_candidate_non_event_pct,0.325508,percent,R2_selection_corpus
r2_candidate_strength_mean,0.367032,ratio,R2_selection_corpus
r2_candidate_strength_p90,0.434729,ratio,R2_selection_corpus
r2_candidate_max_onset_ms,24.331066,ms,R2_selection_corpus
r3_activation_064_pass,0,bool,R3_selection
r3_activation_064_recall_pct,92.105064,percent,R3_selection
r3_activation_062_pass,1,bool,R3_selection
r3_activation_062_recall_pct,92.891156,percent,R3_selection
r3_activation_062_recall_gap_pp,4.498615,percentage_points,R3_selection
r3_activation_062_non_event_pct,0.325508,percent,R3_selection
r3_activation_062_strength_mean,0.369761,ratio,R3_selection
r3_activation_062_strength_p90,0.434730,ratio,R3_selection
r3_activation_062_max_onset_ms,21.065760,ms,R3_selection
r3_activation_060_pass,1,bool,R3_selection
r3_activation_060_recall_pct,93.495843,percent,R3_selection
r3_selected_activation,0.62,probability,R3_selection
r3_holdout_pass,1,bool,R3_holdout
r3_holdout_baseline_clean_pct,0.396851,percent,R3_holdout
r3_holdout_candidate_clean_pct,0.000000,percent,R3_holdout
r3_holdout_baseline_recall_pct,97.464097,percent,R3_holdout
r3_holdout_candidate_recall_pct,94.744268,percent,R3_holdout
r3_holdout_recall_gap_pp,2.719829,percentage_points,R3_holdout
r3_holdout_baseline_non_event_pct,10.083470,percent,R3_holdout
r3_holdout_candidate_non_event_pct,0.364273,percent,R3_holdout
r3_holdout_strength_mean,0.381149,ratio,R3_holdout
r3_holdout_strength_p90,0.443423,ratio,R3_holdout
r3_holdout_max_onset_ms,23.310658,ms,R3_holdout
