metric,value,unit,source
baseline_transient_onset_response,1.0,ratio,product_v03_core
baseline_transient_steady_response,0.0,ratio,product_v03_core
baseline_contextual_false_positive_labeled_evidence_available,0,bool,product_v03
candidate_real_vocal_stem_count,11,count,cipi_voprep
candidate_low_vowel_max_probability,0.28,probability,cipi_voprep
candidate_proximity_max_probability,0.28,probability,cipi_voprep
candidate_fry_max_probability,0.69,probability,cipi_voprep
candidate_growl_onset_max_probability,0.83,probability,cipi_voprep
candidate_plosive_burst_max_probability,0.96,probability,cipi_voprep
candidate_activation_probability,0.75,probability,cipi_voprep
candidate_event_band_mean_reduction_db,1.0,dB,cipi_voprep
candidate_body_region_mean_movement_db,0.2,dB,cipi_voprep
candidate_fet_peak_gr_improvement_db,0.38,dB,cipi_voprep
candidate_opto_peak_gr_improvement_db,0.39,dB,cipi_voprep
candidate_vca_peak_gr_improvement_db,0.44,dB,cipi_voprep
candidate_clean_peak_gr_improvement_db,0.36,dB,cipi_voprep
candidate_max_continuous_event_ms,120,ms,cipi_voprep
