metric,value,unit,scope
source_stereo_rms_dbfs,-25.084,dBFS,real_vocal_ab
v02_50_stereo_rms_dbfs,-25.134,dBFS,real_vocal_ab
v02_50_mono_minus_stereo_db,-0.083,dB,real_vocal_ab
v02_50_lr_correlation,0.96193,ratio,real_vocal_ab
v03_50_stereo_rms_dbfs,-25.086,dBFS,real_vocal_ab
v03_50_mono_minus_stereo_db,-0.014,dB,real_vocal_ab
v03_50_lr_correlation,0.99365,ratio,real_vocal_ab
v02_100_lr_correlation,0.74735,ratio,real_vocal_ab
v02_100_mono_minus_stereo_db,-0.588,dB,real_vocal_ab
v03_100_lr_correlation,0.73544,ratio,real_vocal_ab
v03_100_mono_minus_stereo_db,-0.618,dB,real_vocal_ab
v03_public50_internal_intensity,0.225,ratio,calibration
v03_public50_wet_gain_per_voice_db,-19.0129,dB,calibration
v03_pitch_neg5_error_cents,0.00391377,cents,core_regression
v03_pitch_pos5_error_cents,-0.00234342,cents,core_regression
v03_transport_seek_stale_peak,0,linear_peak,core_regression
v03_transport_restart_stale_peak,0,linear_peak,core_regression
v03_block_partition_max_difference,0,linear_sample,core_regression
v03_detector_fixed_mud_strong_activation_min_pct,99,percent,detector_corpus_negative
v03_detector_adaptive_mud_strong_activation_max_pct,5.14,percent,detector_corpus
v03_pluginval_strictness5_pass,1,bool,host_validation
v03_windows_vst3_build_pass,1,bool,build_validation
