variant,freq_hz,gain_db,thd_percent,upper_to_h2h3,finite
full,100,20.9185,11.8102,0.174138,1
full,1000,22.1726,0.992178,0.0126702,1
full,10000,22.0004,0.730886,0,1
input_transformer_off,100,21.0267,10.9579,0.180349,1
input_transformer_off,1000,22.1764,0.97979,0.0125575,1
input_transformer_off,10000,22.0782,0.73796,0,1
tube1_off,100,11.6936,2.82467,0.0362577,1
tube1_off,1000,11.9848,0.237828,0.0017073,1
tube1_off,10000,11.7853,0.205524,0,1
tube2_off,100,7.04107,1.87631,0.0262218,1
tube2_off,1000,7.2374,0.0569103,0.00162675,1
tube2_off,10000,7.03639,0.0442275,0,1
output_transformer_off,100,22.0877,1.48899,0.0274889,1
output_transformer_off,1000,22.2219,0.846036,0.00937239,1
output_transformer_off,10000,22.1543,0.764562,0,1
feedback_modulation_off,100,20.9185,11.8102,0.174138,1
feedback_modulation_off,1000,22.1726,0.992178,0.0126702,1
feedback_modulation_off,10000,22.0004,0.730886,0,1
spectral_protection_off,100,20.6716,15.4374,0.202691,1
spectral_protection_off,1000,22.1737,0.986189,0.0124989,1
spectral_protection_off,10000,21.9865,0.798226,0,1
tone_off,100,20.9185,11.8102,0.174138,1
tone_off,1000,22.1726,0.992178,0.0126702,1
tone_off,10000,22.0004,0.730886,0,1
