character,freq_hz,input_dbfs,gain_db,thd_percent,upper_to_h2h3,h2,h3,h4,h5,h6,h7,h8,h9,h10,finite
0,100,-30,11.957,0.188525,0.0113415,9.70927e-05,0.000215269,1.53665e-06,1.44894e-06,9.13564e-07,8.01009e-07,7.08859e-07,6.35257e-07,5.74835e-07,1
0,100,-18,11.7382,2.64324,0.0327756,0.00339164,0.0123916,0.000168095,0.000383472,3.03478e-05,1.49124e-05,1.91766e-05,1.67279e-05,1.45437e-05,1
0,100,-12,11.165,8.61945,0.108503,0.015275,0.0763234,0.00281479,0.00789706,0.000527782,0.000833408,0.000175781,0.000177873,7.48707e-05,1
0,100,-6,9.68627,22.2262,0.267349,0.0329229,0.326582,0.0146175,0.0830108,0.00565594,0.022676,0.0022338,0.00667798,0.000703987,1
0,1000,-30,11.99,0.0504923,0.000704656,6.34673e-05,1.80125e-06,2.55638e-08,2.03276e-08,1.75186e-08,1.20371e-08,1.34744e-08,1.33474e-08,1.11127e-08,1
0,1000,-18,11.9864,0.202882,0.00139111,0.00100909,0.000111415,1.41004e-06,4.44906e-08,3.72476e-08,2.9374e-08,2.66723e-08,3.03392e-08,2.17332e-08,1
0,1000,-12,11.9737,0.419755,0.00550379,0.00409248,0.000874287,2.30233e-05,3.98743e-07,2.11805e-07,2.71754e-07,2.38071e-07,2.14042e-07,1.93386e-07,1
0,1000,-6,11.8953,1.12002,0.0187049,0.0211189,0.00642888,0.000412623,4.42327e-06,4.66077e-06,7.94825e-06,7.62692e-06,6.90627e-06,6.24304e-06,1
0,10000,-30,11.7867,0.0479727,0,5.89289e-05,0,0,0,0,0,0,0,0,1
0,10000,-18,11.7852,0.191536,0,0.00093651,0,0,0,0,0,0,0,0,1
0,10000,-12,11.7785,0.385842,0,0.00376126,0,0,0,0,0,0,0,0,1
0,10000,-6,-105.558,63.0241,0,1.66574e-06,0,0,0,0,0,0,0,0,1
0.25,100,-30,17.0559,0.4619,0.00610867,0.000333551,0.000985829,2.74253e-06,5.7056e-06,4.33266e-07,2.59041e-07,2.0833e-07,1.62481e-07,1.31904e-07,1
0.25,100,-18,16.5244,5.86327,0.0807808,0.00846697,0.0485789,0.00111537,0.0038026,0.00021475,0.000319467,7.76529e-05,8.54382e-05,4.66706e-05,1
0.25,100,-12,15.3765,16.1665,0.215728,0.017252,0.232473,0.00552846,0.0485909,0.00191725,0.0111822,0.000645705,0.00286336,7.57649e-05,1
0.25,100,-6,13.0221,34.0565,0.433193,0.0583073,0.698961,0.0478591,0.270766,0.0324997,0.112814,0.0198555,0.0489923,0.0115944,1
0.25,1000,-30,17.1145,0.10165,0.000313071,0.000230395,9.34889e-06,6.27258e-08,1.94281e-08,1.72778e-08,1.0354e-08,1.33774e-08,1.41639e-08,1.06772e-08,1
0.25,1000,-18,17.1016,0.417344,0.00438203,0.00371837,0.000579764,1.64767e-05,3.56181e-07,2.92119e-07,2.97517e-07,2.62738e-07,2.28558e-07,2.12853e-07,1
0.25,1000,-12,17.0351,1.04991,0.0153704,0.0182489,0.00427809,0.000287749,5.45299e-06,4.98708e-06,6.86764e-06,6.33153e-06,5.68684e-06,5.15813e-06,1
0.25,1000,-6,16.2965,4.98297,0.0347179,0.162511,0.0119544,0.00554535,0.00107834,0.000213347,7.40013e-05,0.00012116,0.000118738,0.00010646,1
0.25,10000,-30,16.9115,0.0925869,0,0.000205175,0,0,0,0,0,0,0,0,1
0.25,10000,-18,16.9054,0.371725,0,0.00327711,0,0,0,0,0,0,0,0,1
0.25,10000,-12,16.8614,0.764429,0,0.0133785,0,0,0,0,0,0,0,0,1
0.25,10000,-6,-104.958,63.0237,0,1.78489e-06,0,0,0,0,0,0,0,0,1
0.5,100,-30,22.1098,1.15165,0.0160764,0.00114724,0.00449852,2.71141e-05,6.79672e-05,9.22886e-06,6.98825e-06,5.86558e-06,5.15e-06,4.54996e-06,1
0.5,100,-18,20.9185,11.8102,0.174138,0.0111575,0.162433,0.00277529,0.0276751,0.000902796,0.00529265,0.00021479,0.00117045,6.23286e-05,1
0.5,100,-12,18.9503,26.5016,0.377016,0.06261,0.548424,0.0453222,0.186502,0.0264085,0.0693086,0.0140142,0.0268637,0.00723828,1
0.5,100,-6,15.3465,43.4227,0.631844,0.559586,0.91987,0.484236,0.285245,0.322,0.0500062,0.179112,0.0422724,0.0831892,1
0.5,1000,-30,22.2376,0.205027,0.000878211,0.00083737,5.01017e-05,7.36144e-07,1.37573e-08,9.4662e-09,1.92939e-08,7.85487e-09,8.28005e-09,6.45062e-09,1
0.5,1000,-18,22.1726,0.992178,0.0126702,0.015771,0.00292142,0.00020287,5.18528e-06,4.73256e-06,5.55824e-06,5.02235e-06,4.48714e-06,4.08362e-06,1
0.5,1000,-12,21.5707,4.30169,0.0294227,0.129072,0.009416,0.00375877,0.000577294,8.40443e-05,7.61791e-05,9.66346e-05,9.08689e-05,8.21045e-05,1
0.5,1000,-6,13.796,14.2206,0.14092,0.325312,0.116369,0.0449433,0.0175443,0.0032607,0.00284206,0.00381508,0.00278783,0.00132576,1
0.5,10000,-30,22.0358,0.178934,0,0.000715292,0,0,0,0,0,0,0,0,1
0.5,10000,-18,22.0004,0.730886,0,0.0115842,0,0,0,0,0,0,0,0,1
0.5,10000,-12,8.50014,51.832,0,0.346422,0,0,0,0,0,0,0,0,1
0.5,10000,-6,-104.194,63.0235,0,1.949e-06,0,0,0,0,0,0,0,0,1
0.75,100,-30,27.0476,2.80221,0.0447402,0.00327699,0.0196558,0.000231463,0.000855574,5.69586e-05,6.44352e-05,2.70658e-05,2.60202e-05,2.14763e-05,1
0.75,100,-18,24.7174,20.6577,0.325945,0.058144,0.421634,0.0355239,0.125333,0.0176722,0.0410701,0.00816825,0.0139994,0.00373467,1
0.75,100,-12,21.6678,37.3877,0.599161,0.456844,0.862625,0.388704,0.293668,0.262045,0.0788001,0.152862,0.0155716,0.0790049,1
0.75,100,-6,13.0942,47.6036,0.371096,1.00374,0.112478,0.300714,0.192962,0.0153243,0.0890983,0.0566693,0.00768544,0.037146,1
0.75,1000,-30,27.3555,0.417792,0.00280637,0.00306933,0.000271401,8.62329e-06,3.39641e-07,2.92653e-07,2.83552e-07,2.34528e-07,2.04317e-07,1.90227e-07,1
0.75,1000,-18,26.8104,3.73939,0.025349,0.102815,0.00741514,0.0025897,0.000313563,5.33019e-05,7.17138e-05,7.6915e-05,7.06161e-05,6.40219e-05,1
0.75,1000,-12,20.9307,12.7378,0.102092,0.341067,0.0959475,0.0328466,0.0143573,0.00462873,0.000896427,0.000757294,0.000693699,0.000303812,1
0.75,1000,-6,5.32972,24.7079,0.114734,0.216211,0.0699307,0.00342096,0.0207882,0.0128824,0.00131158,0.00695969,0.00436893,0.000831774,1
0.75,10000,-30,27.1579,0.3467,0,0.00249949,0,0,0,0,0,0,0,0,1
0.75,10000,-18,26.8639,1.50336,0,0.0417119,0,0,0,0,0,0,0,0,1
0.75,10000,-12,4.42418,54.5516,0,0.228043,0,0,0,0,0,0,0,0,1
0.75,10000,-6,-103.427,63.0236,0,2.12896e-06,0,0,0,0,0,0,0,0,1
1,100,-30,31.7213,6.31307,0.10986,0.00623823,0.0762524,0.00107024,0.00826077,0.000222122,0.00108492,4.83547e-05,0.000165218,6.12487e-05,1
