character,freq_hz,gain_db,phase_rad,finite
0,20,11.3246,0.256836,1
0,30,11.6646,0.101273,1
0,50,11.8604,-0.0752741,1
0,80,11.8366,-0.253701,1
0,100,11.9571,-0.358135,1
0,200,11.9826,-0.820884,1
0,1000,11.9894,2.01096,1
0,3000,11.9718,-0.269084,1
0,6500,11.8962,-2.68242,1
0,10000,11.7675,1.186,1
0,16000,11.4353,0.627741,1
0,20000,11.1365,2.34014,1
0.5,20,20.3277,0.277235,1
0.5,30,21.2053,0.109917,1
0.5,50,21.7968,-0.0734,1
0.5,80,21.9453,-0.252995,1
0.5,100,22.1101,-0.357798,1
0.5,200,22.2012,-0.820811,1
0.5,1000,22.237,2.01096,1
0.5,3000,22.2205,-0.269084,1
0.5,6500,22.1452,-2.68241,1
0.5,10000,22.0167,1.186,1
0.5,16000,21.6844,0.627741,1
0.5,20000,21.3857,2.34014,1
1,20,27.2983,0.305047,1
1,30,29.0343,0.126914,1
1,50,30.6042,-0.0669003,1
1,80,31.3701,-0.24982,1
1,100,31.7221,-0.35584,1
1,200,32.1599,-0.820263,1
1,1000,32.4406,2.01096,1
1,3000,32.4349,-0.269084,1
1,6500,32.3707,-2.68242,1
1,10000,32.2481,1.186,1
1,16000,31.9183,0.627742,1
1,20000,31.6204,2.34014,1
