character,freq_hz,input_dbfs,gain_db,thd_percent,finite
0.5,20,-30,20.3275,15.6557,1
0.5,20,-18,14.8127,56.9863,1
0.5,20,-12,10.538,82.466,1
0.5,20,-6,5.62684,104.765,1
0.5,40,-30,21.5996,5.42553,1
0.5,40,-18,18.2981,32.0174,1
0.5,40,-12,14.9179,54.5757,1
0.5,40,-6,10.5664,78.0464,1
0.5,80,-30,21.9614,2.61728,1
0.5,80,-18,20.3856,13.869,1
0.5,80,-12,18.0716,29.9963,1
0.5,80,-6,14.3467,48.4442,1
0.5,120,-30,22.0865,1.22656,1
0.5,120,-18,21.1325,9.39046,1
0.5,120,-12,19.3953,22.9601,1
0.5,120,-6,15.6633,39.7614,1
0.5,200,-30,22.201,0.430763,1
0.5,200,-18,21.7332,5.22205,1
0.5,200,-12,20.5715,15.632,1
0.5,200,-6,15.2517,37.0031,1
0.5,1000,-30,22.2376,0.205027,1
0.5,1000,-18,22.1726,0.992178,1
0.5,1000,-12,21.5707,4.30169,1
0.5,1000,-6,13.796,14.2206,1
1,20,-30,27.2976,40.2402,1
1,20,-18,19.3032,84.5613,1
1,20,-12,14.2317,101.466,1
1,20,-6,8.35508,108.673,1
1,40,-30,30.0111,19.101,1
1,40,-18,23.7662,54.6982,1
1,40,-12,19.0836,69.6297,1
1,40,-6,13.2937,73.7998,1
1,80,-30,31.3853,6.73858,1
1,80,-18,26.9379,32.6552,1
1,80,-12,21.3896,44.7411,1
1,80,-6,11.1951,51.1314,1
1,120,-30,31.8047,5.25845,1
1,120,-18,27.9974,30.1925,1
1,120,-12,18.7833,48.0101,1
1,120,-6,7.40171,46.4633,1
1,200,-30,32.1603,3.43054,1
1,200,-18,28.1953,31.115,1
1,200,-12,14.3036,37.8064,1
1,200,-6,3.83485,34.6396,1
1,1000,-30,32.4413,0.921998,1
1,1000,-18,27.5021,11.4564,1
1,1000,-12,12.2455,22.9562,1
1,1000,-6,1.86942,30.7347,1
