drive_db,flux_multiplier,nonlinear_scale,char0_1k_thd,char50_1k_thd,char50_100_thd,char50_lf_mid_ratio,char100_1k_thd,char100_stress_thd,baseline_no_tx_100_thd,full_to_baseline_lf_ratio,hard_pass,failed_gates,penalty,finite
2,2,0.125,0.0836389,0.183241,0.186921,1.02009,0.405437,1.99674,0.172056,1.0864,0,1,0.157604,1
2,2,0.25,0.0836517,0.183242,0.202317,1.1041,0.405361,2.02845,0.172056,1.17588,0,1,0.157732,1
2,2,0.5,0.083679,0.183254,0.23384,1.27605,0.405317,2.16369,0.172056,1.35909,0,1,0.157805,1
2,4,0.125,0.0836297,0.183242,0.175598,0.958284,0.405519,1.99146,0.172056,1.02058,0,1,0.157468,1
2,4,0.25,0.0836329,0.183241,0.179352,0.978774,0.40549,1.99137,0.172056,1.0424,0,1,0.157517,1
2,4,0.5,0.0836389,0.183241,0.186933,1.02015,0.405438,1.99675,0.172056,1.08646,0,1,0.157603,1
2,8,0.125,0.0836276,0.183243,0.172801,0.943016,0.405542,1.99277,0.172056,1.00433,0,1,0.15743,1
2,8,0.25,0.0836284,0.183243,0.173733,0.948105,0.405535,1.99222,0.172056,1.00975,0,1,0.157442,1
2,8,0.5,0.0836299,0.183242,0.175603,0.958313,0.405519,1.99147,0.172056,1.02062,0,1,0.157468,1
4,2,0.125,0.0836389,0.205814,0.228527,1.11036,0.513883,3.05591,0.209267,1.09203,1,0,0,1
4,2,0.25,0.0836517,0.205814,0.248287,1.20637,0.513768,3.15912,0.209267,1.18646,1,0,0,1
4,2,0.5,0.083679,0.20583,0.288509,1.40168,0.513848,3.52393,0.209267,1.37866,1,0,0,1
4,4,0.125,0.0836297,0.205816,0.21393,1.03942,0.514039,3.03041,0.209267,1.02228,1,0,0,1
4,4,0.25,0.0836329,0.205815,0.218775,1.06297,0.513982,3.03326,0.209267,1.04543,1,0,0,1
4,4,0.5,0.0836389,0.205814,0.228538,1.11041,0.513885,3.05592,0.209267,1.09209,1,0,0,1
4,8,0.125,0.0836276,0.205818,0.210315,1.02185,0.514087,3.03226,0.209267,1.00501,1,0,0,1
4,8,0.25,0.0836284,0.205817,0.21152,1.02771,0.514071,3.03125,0.209267,1.01076,1,0,0,1
4,8,0.5,0.0836299,0.205816,0.213935,1.03945,0.51404,3.03041,0.209267,1.02231,1,0,0,1
6,2,0.125,0.0836389,0.231224,0.280725,1.21408,0.654036,6.00527,0.255967,1.09672,1,0,0,1
6,2,0.25,0.0836517,0.231224,0.30593,1.32309,0.653934,6.25428,0.255967,1.19519,1,0,0,1
6,2,0.5,0.083679,0.231247,0.356973,1.54369,0.654657,6.88262,0.255967,1.3946,1,0,0,1
6,4,0.125,0.0836297,0.231229,0.262034,1.13322,0.654317,5.91388,0.255967,1.0237,1,0,0,1
6,4,0.25,0.0836329,0.231227,0.268245,1.16009,0.654204,5.9305,0.255967,1.04796,1,0,0,1
6,4,0.5,0.0836389,0.231224,0.280737,1.21413,0.654038,6.00528,0.255967,1.09677,1,0,0,1
6,8,0.125,0.0836276,0.231231,0.257395,1.11315,0.654414,5.91336,0.255967,1.00558,1,0,0,1
6,8,0.25,0.0836284,0.23123,0.258941,1.11984,0.654381,5.91227,0.255967,1.01162,1,0,0,1
6,8,0.5,0.0836299,0.231229,0.262039,1.13325,0.654317,5.91389,0.255967,1.02372,1,0,0,1
