host_sr,internal_sr,input_hz,input_peak_dbfs,harmonic,folded_hz,component_dbfs,classification
44100,176400,5000,-12,2,10000,-110.638,IN_BAND_HARMONIC
44100,176400,5000,-12,3,15000,-130.741,IN_BAND_HARMONIC
44100,176400,5000,-12,4,20000,-159.59,IN_BAND_HARMONIC
44100,176400,5000,-12,5,25000,-182.446,IN_BAND_HARMONIC
44100,176400,5000,-6,2,10000,-98.99,IN_BAND_HARMONIC
44100,176400,5000,-6,3,15000,-112.856,IN_BAND_HARMONIC
44100,176400,5000,-6,4,20000,-136.369,IN_BAND_HARMONIC
44100,176400,5000,-6,5,25000,-178.356,IN_BAND_HARMONIC
44100,176400,5000,-3,2,10000,-93.4664,IN_BAND_HARMONIC
44100,176400,5000,-3,15000,-103.85,IN_BAND_HARMONIC
