host_sr,internal_sr,frequency_hz,input_peak_dbfs,gain_db,phase_deg,finite
48000,192000,20,-36,-0.0970620005286,8.53045679706,1
48000,192000,30,-36,-0.043639224468,5.71002652646,1
48000,192000,40,-36,-0.0247892649795,4.28865259394,1
48000,192000,50,-36,-0.0160272329785,3.43287741637,1
48000,192000,80,-36,-0.00652682837535,2.14652584394,1
48000,192000,100,-36,-0.0043327298729,1.71691919548,1
48000,192000,200,-36,-0.00140229808728,0.856531552894,1
48000,192000,500,-36,-0.000594008590284,0.336793006016,1
48000,192000,1000,-36,-0.000501146215873,0.157923938699,1
48000,192000,2000,-36,-0.000575380729871,0.0580441627589,1
48000,192000,5000,-36,-0.00129751747834,-0.0350993942063,1
48000,192000,10000,-36,-0.00387913325927,-0.119873504146,1
48000,192000,15000,-36,-0.00810398218513,-0.189452900508,1
48000,192000,20000,-36,-0.0138532361268,-0.250702393153,1
