host_sr,internal_sr,frequency_hz,input_peak_dbfs,gain_db,thd_pct,h2_dbfs,h3_dbfs,h4_dbfs,h5_dbfs,dc,peak,finite
48000,192000,1000,-48,-0.000500925570934,1.64285664103e-05,-184.612176754,-196.44199315,-192.876908928,-201.137333744,2.48886909352e-08,0.00398099562153,1
48000,192000,1000,-42,-0.000500158950629,4.08477102449e-05,-169.965093953,-188.672144132,-187.019747649,-189.529154731,-3.0994323752e-07,0.0079431924969,1
48000,192000,1000,-36,-0.000501229708569,8.09369695428e-05,-157.939490724,-178.542239525,-180.698778074,-178.051311231,1.79740636023e-07,0.0158482994884,1
48000,192000,1000,-30,-0.000500466439128,0.00015407933959,-146.251011743,-182.256690769,-179.477487416,-179.112248253,-3.66496791609e-07,0.0316218994558,1
48000,192000,1000,-24,-0.000503794810013,0.000294288399267,-134.642447782,-159.517508912,-184.181505701,-165.889376739,-2.6334926027e-07,0.0630932673812,1
48000,192000,1000,-18,-0.000505050861954,0.000587865771301,-122.617939484,-155.258702816,-161.405645312,-171.179404421,2.41738366003e-06,0.125888243318,1
48000,192000,1000,-12,-0.000529405865834,0.00117688694793,-110.6258432,-130.977541648,-159.400525273,-157.715171048,-2.14052897718e-05,0.251190543175,1
48000,192000,1000,-9,-0.000560633204681,0.00163684880363,-104.804547613,-121.898790379,-149.166443352,-156.882310977,-1.22449234453e-05,0.354799449444,1
48000,192000,1000,-6,-0.000619934597303,0.00229528357483,-98.9623919512,-112.752632851,-136.50330209,-163.319049111,-1.71779885338e-05,0.501155674458,1
48000,192000,1000,-3,-0.000736749918041,0.00313173097332,-93.467062161,-103.86895398,-124.51947282,-156.260468471,-1.56699813864e-05,0.707881987095,1
48000,192000,1000,0,-0.000972962005507,0.00417774669948,-88.5043754159,-94.8366130917,-112.599089021,-145.54659126,1.69057734456e-05,0.999921917915,1
