variant,input,sample_rate_hz,channels,peak_reduction,gain_db,mode,input_rms_db,input_peak_db,output_rms_db,output_peak_db,max_gr_db
Baseline,breathy.wav,44100,1,0,0,Compress,-24.8746,-11.1177,-24.3046,-10.5906,0
Candidate,breathy.wav,44100,1,0,0,Compress,-24.8746,-11.1177,-25.435,-11.6942,0
Baseline,breathy.wav,44100,1,50,0,Compress,-24.8746,-11.1177,-24.969,-11.5483,1.01484
Candidate,breathy.wav,44100,1,50,0,Compress,-24.8746,-11.1177,-26.1049,-12.6764,1.01484
Baseline,breathy.wav,44100,1,75,0,Compress,-24.8746,-11.1177,-26.5857,-13.8163,3.37531
Candidate,breathy.wav,44100,1,75,0,Compress,-24.8746,-11.1177,-27.7304,-14.9844,3.37531
Baseline,straight.wav,44100,1,0,0,Compress,-26.2647,-7.36289,-25.7071,-7.01273,0
Candidate,straight.wav,44100,1,0,0,Compress,-26.2647,-7.36289,-26.8272,-7.95755,0
Baseline,straight.wav,44100,1,50,0,Compress,-26.2647,-7.36289,-26.5174,-8.8455,2.0222
Candidate,straight.wav,44100,1,50,0,Compress,-26.2647,-7.36289,-27.6513,-9.88396,2.0222
Baseline,straight.wav,44100,1,75,0,Compress,-26.2647,-7.36289,-28.1297,-12.1848,5.56345
Candidate,straight.wav,44100,1,75,0,Compress,-26.2647,-7.36289,-29.2758,-13.3148,5.56345
Baseline,forte.wav,44100,1,0,0,Compress,-20.9861,-8.70874,-20.4461,-8.20438,0
Candidate,forte.wav,44100,1,0,0,Compress,-20.9861,-8.70874,-21.5511,-9.23373,0
Baseline,forte.wav,44100,1,50,0,Compress,-20.9861,-8.70874,-21.6808,-10.0737,2.00174
Candidate,forte.wav,44100,1,50,0,Compress,-20.9861,-8.70874,-22.8041,-11.1738,2.00174
Baseline,forte.wav,44100,1,75,0,Compress,-20.9861,-8.70874,-24.2215,-13.3166,5.59479
Candidate,forte.wav,44100,1,75,0,Compress,-20.9861,-8.70874,-25.3657,-14.4909,5.59479
