file,preset,duration_s,input_peak_db,input_rms_db,input_crest_db,input_dynamic_p90_p10_db,output_peak_db,output_rms_db,output_crest_db,output_dynamic_p90_p10_db,gr_p50_db,gr_p95_db,gr_max_db,limiter_p95_db,limiter_max_db,ab_active_rms_match_gain_db,status
man1_twinkle.wav,Amount25-Natural,33.076,-0.1005,-17.4812,17.3807,40.7813,-2.0016,-19.6183,17.6167,38.8191,1.5324,2.4999,2.4999,0.0000,0.0000,0.0000,PASS
man1_twinkle.wav,Amount50-Smooth,33.076,-0.1005,-17.4812,17.3807,40.7813,-5.3134,-22.8303,17.5169,36.6225,4.2874,5.9999,5.9999,0.0000,0.0000,0.0000,PASS
man1_twinkle.wav,Amount50-Natural,33.076,-0.1005,-17.4812,17.3807,40.7813,-4.4984,-22.4842,17.9858,36.6402,3.6977,5.9997,5.9997,0.0000,0.0000,5.0031,PASS
man1_twinkle.wav,Amount50-Punch,33.076,-0.1005,-17.4812,17.3807,40.7813,-3.1953,-21.5064,18.3111,36.3938,2.4114,5.9700,5.9995,0.0000,0.0000,0.0000,PASS
man1_twinkle.wav,Amount75-Natural,33.076,-0.1005,-17.4812,17.3807,40.7813,-6.3711,-24.5387,18.1675,35.1204,5.4494,8.4999,8.4999,0.0000,0.0000,0.0000,PASS
man1_twinkle.wav,DrivePlus6,33.076,-0.1005,-17.4812,17.3807,40.7813,-1.0000,-17.2999,16.2999,38.6311,5.7894,5.9997,5.9997,0.0006,1.0540,0.0000,PASS
man4_twinkle.wav,Amount25-Natural,31.018,-0.1005,-19.5506,19.4501,40.8592,-2.5560,-21.6689,19.1128,38.9651,1.3229,2.4999,2.4999,0.0000,0.0000,0.0000,PASS
man4_twinkle.wav,Amount50-Smooth,31.018,-0.1005,-19.5506,19.4501,40.8592,-6.0563,-24.8764,18.8201,35.8904,4.0288,5.9999,5.9999,0.0000,0.0000,0.0000,PASS
man4_twinkle.wav,Amount50-Natural,31.018,-0.1005,-19.5506,19.4501,40.8592,-6.0553,-24.5063,18.4510,35.9868,3.2424,5.9997,5.9997,0.0000,0.0000,4.9559,PASS
man4_twinkle.wav,Amount50-Punch,31.018,-0.1005,-19.5506,19.4501,40.8592,-4.9859,-23.5225,18.5366,36.5794,1.9645,5.9304,5.9995,0.0000,0.0000,0.0000,PASS
man4_twinkle.wav,Amount75-Natural,31.018,-0.1005,-19.5506,19.4501,40.8592,-7.8642,-26.5454,18.6812,34.0778,4.9066,8.4999,8.4999,0.0000,0.0000,0.0000,PASS
man4_twinkle.wav,DrivePlus6,31.018,-0.1005,-19.5506,19.4501,40.8592,-1.0000,-19.3620,18.3620,36.7636,5.6559,5.9997,5.9997,0.0006,0.9442,0.0000,PASS
woman1_twinkle.wav,Amount25-Natural,26.435,-0.1005,-17.7068,17.6063,34.9191,-2.4994,-19.8854,17.3860,33.8263,1.7916,2.4999,2.4999,0.0000,0.0000,0.0000,PASS
woman1_twinkle.wav,Amount50-Smooth,26.435,-0.1005,-17.7068,17.6063,34.9191,-6.1027,-23.1222,17.0194,31.4502,4.7369,5.9999,5.9999,0.0000,0.0000,0.0000,PASS
woman1_twinkle.wav,Amount50-Natural,26.435,-0.1005,-17.7068,17.6063,34.9191,-5.8291,-22.8126,16.9835,31.2206,4.2525,5.9997,5.9997,0.0000,0.0000,5.1059,PASS
woman1_twinkle.wav,Amount50-Punch,26.435,-0.1005,-17.7068,17.6063,34.9191,-4.5394,-21.9160,17.3766,31.8296,3.0374,5.9638,5.9995,0.0000,0.0000,0.0000,PASS
woman1_twinkle.wav,Amount75-Natural,26.435,-0.1005,-17.7068,17.6063,34.9191,-8.0547,-24.8976,16.8429,29.8783,6.1606,8.4999,8.4999,0.0000,0.0000,0.0000,PASS
woman1_twinkle.wav,DrivePlus6,26.435,-0.1005,-17.7068,17.6063,34.9191,-1.0000,-17.5172,16.5172,31.3603,5.9145,5.9997,5.9997,0.0006,0.9747,0.0000,PASS
woman3_twinkle.wav,Amount25-Natural,23.971,-0.1005,-18.0001,17.8995,39.2609,-2.3526,-20.2294,17.8768,37.7442,1.5758,2.4999,2.4999,0.0000,0.0000,0.0000,PASS
woman3_twinkle.wav,Amount50-Smooth,23.971,-0.1005,-18.0001,17.8995,39.2609,-6.0656,-23.5270,17.4614,35.1183,4.3832,5.9999,5.9999,0.0000,0.0000,0.0000,PASS
woman3_twinkle.wav,Amount50-Natural,23.971,-0.1005,-18.0001,17.8995,39.2609,-5.5322,-23.2391,17.7069,35.0581,3.7722,5.9997,5.9997,0.0000,0.0000,5.2391,PASS
woman3_twinkle.wav,Amount50-Punch,23.971,-0.1005,-18.0001,17.8995,39.2609,-3.9413,-22.3820,18.4407,35.4663,2.5135,5.9708,5.9995,0.0000,0.0000,0.0000,PASS
woman3_twinkle.wav,Amount75-Natural,23.971,-0.1005,-18.0001,17.8995,39.2609,-6.7536,-25.3659,18.6123,34.1048,5.5693,8.4999,8.4999,0.0000,0.0000,0.0000,PASS
woman3_twinkle.wav,DrivePlus6,23.971,-0.1005,-18.0001,17.8995,39.2609,-1.0000,-17.8111,16.8111,36.0413,5.7692,5.9997,5.9997,0.0006,1.3809,0.0000,PASS
