dataset,mode,onset_dbfs,ratio_1_6,ratio_6_12,ratio_12_18
supplemental_target,4,-42.0,3.0854,4.6462,5.0337
supplemental_target,8,-40.0,4.9467,7.8239,8.2618
supplemental_target,12,-38.0,7.7485,11.8871,12.1317
supplemental_target,20,-37.0,13.7836,21.9264,22.8206
black76_baseline,4,-45.0,2.9277,2.6344,2.177
black76_baseline,8,-50.0,3.5692,2.9622,2.1208
black76_baseline,12,-52.0,4.1118,3.2887,1.8749
black76_baseline,20,-54.0,4.5805,3.316,1.5645
black76_p2a,4,-42.0,2.975,2.6379,2.1777
black76_p2a,8,-40.0,3.5884,3.0036,2.1319
black76_p2a,12,-38.0,4.1318,3.3138,1.8997
black76_p2a,20,-37.0,4.6023,3.3454,1.6158
