sample_rate_hz,mode,case,baseline_peak_t,candidate_peak_t,baseline_high_fraction,candidate_high_fraction,baseline_mean_t,candidate_mean_t,median_highband_ratio_db,periodicity_confidence,finite
44100,spectral_periodicity,voiced_low,1.000000000,1.000000000,0.999244142,0.999244142,0.999244142,0.999229565,-19.382510979,0.981233217,1
44100,spectral_periodicity,voiced_high,1.000000000,1.000000000,0.999244142,0.999244142,0.999244142,0.999244142,-13.356903444,1.000000000,1
44100,spectral_periodicity,voiced_high_bright,1.000000000,1.000000000,0.999244142,0.999244142,0.999244142,0.999244142,-5.464202672,1.000000000,1
44100,spectral_periodicity,sibilant,1.000000000,0.878999016,1.000000000,0.000283447,1.000000000,0.304429133,-0.403633912,0.072336430,1
44100,spectral_periodicity,breath,1.000000000,1.000000000,1.000000000,0.000944822,1.000000000,0.297645320,-2.955163321,0.061305859,1
44100,spectral_periodicity,steady_vowel,1.000000000,1.000000000,0.231122449,0.231122449,0.634392461,0.634392012,-18.467221192,0.992410033,1
44100,spectral_periodicity,plosive_low,1.000000000,1.000000000,1.000000000,1.000000000,1.000000000,0.999386079,-13.481802977,0.373860443,1
48000,spectral_periodicity,voiced_low,1.000000000,1.000000000,0.999305556,0.999305556,0.999305556,0.999288631,-19.269739703,0.980584895,1
48000,spectral_periodicity,voiced_high,1.000000000,1.000000000,0.999305556,0.999305556,0.999305556,0.999305556,-13.278353438,1.000000000,1
48000,spectral_periodicity,voiced_high_bright,1.000000000,1.000000000,0.999305556,0.999305556,0.999305556,0.999305556,-5.325156931,1.000000000,1
48000,spectral_periodicity,sibilant,1.000000000,0.792079663,1.000000000,0.000260417,1.000000000,0.337353058,-0.416190041,0.116312811,1
48000,spectral_periodicity,breath,1.000000000,0.785726509,1.000000000,0.000173611,1.000000000,0.317341230,-2.777967639,0.089311117,1
48000,spectral_periodicity,steady_vowel,1.000000000,1.000000000,0.219166667,0.219166667,0.624488889,0.624488677,-18.329008718,0.996800271,1
48000,spectral_periodicity,plosive_low,1.000000000,1.000000000,1.000000000,0.920833333,1.000000000,0.886293466,-10.053711313,0.253423672,1
96000,spectral_periodicity,voiced_low,1.000000000,1.000000000,0.999652778,0.999652778,0.999652778,0.999635101,-18.707661112,0.984248037,1
96000,spectral_periodicity,voiced_high,1.000000000,1.000000000,0.999652778,0.999652778,0.999652778,0.999652778,-12.621923816,1.000000000,1
96000,spectral_periodicity,voiced_high_bright,1.000000000,1.000000000,0.999652778,0.999652778,0.999652778,0.999652778,-4.062400040,1.000000000,1
96000,spectral_periodicity,sibilant,1.000000000,0.490787097,1.000000000,0.000000000,1.000000000,0.312731639,-0.201297729,0.083608414,1
96000,spectral_periodicity,breath,1.000000000,0.504938789,1.000000000,0.000000000,1.000000000,0.307942721,-2.120312853,0.077234158,1
96000,spectral_periodicity,steady_vowel,1.000000000,1.000000000,0.230859375,0.230859375,0.633371244,0.633370772,-17.631866436,0.994425620,1
96000,spectral_periodicity,plosive_low,1.000000000,1.000000000,1.000000000,0.995416667,1.000000000,0.858151057,-8.745187954,0.484260604,1
192000,spectral_periodicity,voiced_low,1.000000000,1.000000000,0.999826389,0.999826389,0.999826389,0.999809172,-18.456849030,0.984018105,1
192000,spectral_periodicity,voiced_high,1.000000000,1.000000000,0.999826389,0.999826389,0.999826389,0.999826389,-12.337431223,1.000000000,1
192000,spectral_periodicity,voiced_high_bright,1.000000000,1.000000000,0.999826389,0.999826389,0.999826389,0.999826389,-3.315408643,1.000000000,1
192000,spectral_periodicity,sibilant,1.000000000,0.311784348,1.000000000,0.000000000,1.000000000,0.311784348,-0.100811375,0.082379131,1
192000,spectral_periodicity,breath,1.000000000,0.697385491,1.000000000,0.000000000,1.000000000,0.303914888,-1.809444304,0.071819150,1
192000,spectral_periodicity,steady_vowel,1.000000000,1.000000000,0.230130208,0.230130208,0.631096093,0.631095688,-17.314516197,0.995028290,1
192000,spectral_periodicity,plosive_low,1.000000000,1.000000000,1.000000000,0.999375000,1.000000000,0.818525695,-8.514280063,0.392311902,1
