sample_rate_hz,mode,case,baseline_peak_t,candidate_peak_t,baseline_high_fraction,candidate_high_fraction,baseline_mean_t,candidate_mean_t,median_highband_ratio_db,periodicity_confidence,finite
44100,spectral_only,voiced_low,1.000000000,1.000000000,0.999244142,0.997732426,0.999244142,0.998467383,-19.382510979,0.981233217,1
44100,spectral_only,voiced_high,1.000000000,1.000000000,0.999244142,0.997732426,0.999244142,0.998273293,-13.356903444,1.000000000,1
44100,spectral_only,voiced_high_bright,1.000000000,0.869563721,0.999244142,0.000755858,0.999244142,0.316269229,-5.464202672,1.000000000,1
44100,spectral_only,sibilant,1.000000000,0.869563721,1.000000000,0.000283447,1.000000000,0.250190598,-0.403633912,0.072336430,1
44100,spectral_only,breath,1.000000000,1.000000000,1.000000000,0.000944822,1.000000000,0.251774727,-2.955163321,0.061305859,1
44100,spectral_only,steady_vowel,1.000000000,1.000000000,0.231122449,0.231009070,0.634392461,0.634333341,-18.467221192,0.992410033,1
44100,spectral_only,plosive_low,1.000000000,1.000000000,1.000000000,1.000000000,1.000000000,0.999019514,-13.481802977,0.373860443,1
48000,spectral_only,voiced_low,1.000000000,1.000000000,0.999305556,0.997916667,0.999305556,0.998433809,-19.269739703,0.980584895,1
48000,spectral_only,voiced_high,1.000000000,1.000000000,0.999305556,0.997916667,0.999305556,0.998254023,-13.278353438,1.000000000,1
48000,spectral_only,voiced_high_bright,1.000000000,0.764712741,0.999305556,0.001388889,0.999305556,0.299651204,-5.325156931,1.000000000,1
48000,spectral_only,sibilant,1.000000000,0.764712741,1.000000000,0.000260417,1.000000000,0.250134040,-0.416190041,0.116312811,1
48000,spectral_only,breath,1.000000000,0.764712741,1.000000000,0.000173611,1.000000000,0.250392991,-2.777967639,0.089311117,1
48000,spectral_only,steady_vowel,1.000000000,1.000000000,0.219166667,0.219062500,0.624488889,0.624422484,-18.329008718,0.996800271,1
48000,spectral_only,plosive_low,1.000000000,1.000000000,1.000000000,0.908333333,1.000000000,0.847696036,-10.053711313,0.253423672,1
96000,spectral_only,voiced_low,1.000000000,1.000000000,0.999652778,0.997569444,0.999652778,0.998530559,-18.707661112,0.984248037,1
96000,spectral_only,voiced_high,1.000000000,1.000000000,0.999652778,0.997569444,0.999652778,0.998386896,-12.621923816,1.000000000,1
96000,spectral_only,voiced_high_bright,1.000000000,0.565294884,0.999652778,0.000000000,0.999652778,0.252649160,-4.062400040,1.000000000,1
96000,spectral_only,sibilant,1.000000000,0.444328264,1.000000000,0.000000000,1.000000000,0.250027639,-0.201297729,0.083608414,1
96000,spectral_only,breath,1.000000000,0.463502886,1.000000000,0.000000000,1.000000000,0.250018533,-2.120312853,0.077234158,1
96000,spectral_only,steady_vowel,1.000000000,1.000000000,0.230859375,0.230703125,0.633371244,0.633286484,-17.631866436,0.994425620,1
96000,spectral_only,plosive_low,1.000000000,1.000000000,1.000000000,0.092916667,1.000000000,0.724960041,-8.745187954,0.484260604,1
192000,spectral_only,voiced_low,1.000000000,1.000000000,0.999826389,0.997916667,0.999826389,0.998749084,-18.456849030,0.984018105,1
192000,spectral_only,voiced_high,1.000000000,1.000000000,0.999826389,0.997743056,0.999826389,0.998636084,-12.337431223,1.000000000,1
192000,spectral_only,voiced_high_bright,1.000000000,0.534103465,0.999826389,0.000000000,0.999826389,0.250640693,-3.315408643,1.000000000,1
192000,spectral_only,sibilant,1.000000000,0.250000000,1.000000000,0.000000000,1.000000000,0.250000000,-0.100811375,0.082379131,1
192000,spectral_only,breath,1.000000000,0.673970316,1.000000000,0.000000000,1.000000000,0.250054435,-1.809444304,0.071819150,1
192000,spectral_only,steady_vowel,1.000000000,1.000000000,0.230130208,0.229986979,0.631096093,0.631014766,-17.314516197,0.995028290,1
192000,spectral_only,plosive_low,1.000000000,1.000000000,1.000000000,0.054583333,1.000000000,0.701369328,-8.514280063,0.392311902,1
