detector,case,confidence,pitch_hz,true_f0_hz,pitch_relative_error,pair_ops,finite
autocorr_baseline,sine_100,1.000000000,100.000000000,100.000000000,0.000000000,169200,1
autocorr_baseline,harmonic_220,0.999098687,110.091743119,220.000000000,0.499582986,169200,1
autocorr_baseline,harmonic_700,1.000000000,100.000000000,700.000000000,0.857142857,169200,1
autocorr_baseline,bright_700,1.000000000,100.000000000,700.000000000,0.857142857,169200,1
autocorr_baseline,bright_1000,1.000000000,500.000000000,1000.000000000,0.500000000,169200,1
autocorr_baseline,bright_700_noise6,0.802494868,100.000000000,700.000000000,0.857142857,169200,1
autocorr_baseline,sibilant_noise,0.131196409,118.811881188,,,169200,1
autocorr_baseline,breath_noise,0.124593398,102.564102564,,,169200,1
autocorr_baseline,silence,0.000000000,0.000000000,,,0,1
yin_cmnd,sine_100,1.000000000,100.001157033,100.000000000,0.000011570,121350,1
yin_cmnd,harmonic_220,0.980452073,219.901475062,220.000000000,0.000447841,121350,1
yin_cmnd,harmonic_700,0.993836382,701.879581398,700.000000000,0.002685116,121350,1
yin_cmnd,bright_700,0.985657605,702.375119839,700.000000000,0.003393028,121350,1
yin_cmnd,bright_1000,1.000000000,1002.084709751,1000.000000000,0.002084710,121350,1
yin_cmnd,bright_700_noise6,0.830018414,99.990240579,700.000000000,0.857156799,121350,1
yin_cmnd,sibilant_noise,0.281152598,84.481176222,,,121350,1
yin_cmnd,breath_noise,0.259431135,88.796018076,,,121350,1
yin_cmnd,silence,0.000000000,0.000000000,,,0,1
mpm_nsdf,sine_100,1.000000000,99.997689995,100.000000000,0.000023100,169200,1
mpm_nsdf,harmonic_220,0.999098663,110.007316657,220.000000000,0.499966742,169200,1
mpm_nsdf,harmonic_700,1.000000000,99.993817692,700.000000000,0.857151689,169200,1
mpm_nsdf,bright_700,1.000000000,99.996897956,700.000000000,0.857147289,169200,1
mpm_nsdf,bright_1000,1.000000000,166.662849673,1000.000000000,0.833337150,169200,1
mpm_nsdf,bright_700_noise6,0.802490628,99.989929556,700.000000000,0.857157243,169200,1
mpm_nsdf,sibilant_noise,0.131189742,118.766563400,,,169200,1
mpm_nsdf,breath_noise,0.124526916,102.582625261,,,169200,1
mpm_nsdf,silence,0.000000000,0.000000000,,,0,1
