sample_rate_hz,test,duration_ms,candidate_value,baseline_value,delta_value,finite
44100,burst_max_gr_db,10,1.210793588,1.215234220,-0.004440632,1
44100,burst_max_gr_db,20,2.240577380,2.255997046,-0.015419665,1
44100,burst_max_gr_db,30,3.013838557,3.007441357,0.006397200,1
44100,burst_max_gr_db,50,4.613583166,4.250376993,0.363206174,1
44100,burst_max_gr_db,100,6.963861541,5.919434423,1.044427118,1
44100,settled_fraction_150ms,150,0.906289821,,,1
44100,steady_gr_db,1500,3.121530854,,,1
44100,crest_gain_invariance_abs_diff,2000,0.000000000000,,,1
44100,python_model_realtime_factor,1000,11.436919,,,1
48000,burst_max_gr_db,10,1.210967300,1.215414352,-0.004447053,1
48000,burst_max_gr_db,20,2.240647011,2.256064393,-0.015417382,1
48000,burst_max_gr_db,30,3.013888840,3.007488881,0.006399959,1
48000,burst_max_gr_db,50,4.613514138,4.250373824,0.363140313,1
48000,burst_max_gr_db,100,6.963785454,5.919444881,1.044340572,1
48000,settled_fraction_150ms,150,0.906281046,,,1
48000,steady_gr_db,1500,3.121523326,,,1
48000,crest_gain_invariance_abs_diff,2000,0.000000000000,,,1
48000,python_model_realtime_factor,1000,10.701124,,,1
96000,burst_max_gr_db,10,1.211870171,1.216315309,-0.004445138,1
96000,burst_max_gr_db,20,2.241092087,2.256504694,-0.015412607,1
96000,burst_max_gr_db,30,3.014121335,3.007826585,0.006294751,1
96000,burst_max_gr_db,50,4.613159042,4.250376446,0.362782597,1
96000,burst_max_gr_db,100,6.963442510,5.919448071,1.043994439,1
96000,settled_fraction_150ms,150,0.906260134,,,1
96000,steady_gr_db,1500,3.121477383,,,1
96000,crest_gain_invariance_abs_diff,2000,0.000000000000,,,1
96000,python_model_realtime_factor,1000,5.263778,,,1
192000,burst_max_gr_db,10,1.212322940,1.216767726,-0.004444786,1
192000,burst_max_gr_db,20,2.241323720,2.256735945,-0.015412225,1
192000,burst_max_gr_db,30,3.014272468,3.008003157,0.006269311,1
192000,burst_max_gr_db,50,4.613009683,4.250372343,0.362637340,1
192000,burst_max_gr_db,100,6.963292672,5.919447951,1.043844721,1
192000,settled_fraction_150ms,150,0.906253007,,,1
192000,steady_gr_db,1500,3.121458736,,,1
192000,crest_gain_invariance_abs_diff,2000,0.000000000000,,,1
192000,python_model_realtime_factor,1000,2.692522,,,1
