metric,value
checksum_ok,False
fr_all_finite,True
fr_max_abs_30_15k_db,0.043639224468
thd_all_finite,True
thd_low_level_below_mid_and_high,True
thd_minus48_pct,1.64285664103e-05
thd_minus12_pct,0.00117688694793
thd_0_pct,0.00417774669948
zout_min_ohm,150.527191162
zout_max_ohm,150.751342773
sample_rate_all_finite,True
sample_rate_gain_spread_db,0.00021522622426999998
stress_all_finite,True
cpu_realtime_factor_at_192k,290.063
ab_case_count,9
ab_matrix_complete,True
ab_all_44100,True
ab_min_correlation,0.999928
ab_max_match_gain_abs_db,1.14611
ab_max_matched_peak_delta_db,0.17533000000000065
ab_residual_min_db,-38.9898
ab_residual_max_db,-38.3867
render_matrix_complete,True
ab_gr_pair_max_abs_diff_db,0.0
raw_audio_present,False
