mapping,amount,input_shift_db,mean_gr_db,p95_gr_db,max_gr_db,linearity_rmse_db,zero_null_max_gr_db,event_extra_mean_db,event_extra_linearity_rmse_db,full_scale_match_max_error_db,finite
threshold_sweep,0.00,-12.0,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,1
threshold_sweep,0.25,-12.0,0.000000000,0.000000000,0.000000000,0.029753957,0.000000000,0.000000000,0.067465827,0.000000000,1
threshold_sweep,0.50,-12.0,0.000000000,0.000000000,0.000000000,0.059507914,0.000000000,0.000000000,0.134931654,0.000000000,1
threshold_sweep,0.75,-12.0,0.000000000,0.000000000,0.000000000,0.089261871,0.000000000,0.000000000,0.202397481,0.000000000,1
threshold_sweep,1.00,-12.0,0.060400826,0.248298955,0.984260419,0.000000000,0.000000000,0.207178863,0.000000000,0.000000000,1
ratio_interp,0.00,-12.0,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,1
ratio_interp,0.25,-12.0,0.020133609,0.082766318,0.328086806,0.009917986,0.000000000,0.069059621,0.022488609,0.000000000,1
ratio_interp,0.50,-12.0,0.036240496,0.148979373,0.590556251,0.011901583,0.000000000,0.124307318,0.026986331,0.000000000,1
ratio_interp,0.75,-12.0,0.049418858,0.203153691,0.805303979,0.008114716,0.000000000,0.169509979,0.018399771,0.000000000,1
ratio_interp,1.00,-12.0,0.060400826,0.248298955,0.984260419,0.000000000,0.000000000,0.207178863,0.000000000,0.000000000,1
desired_gr_scale,0.00,-12.0,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,1
desired_gr_scale,0.25,-12.0,0.015100207,0.062074739,0.246065105,0.000000000,0.000000000,0.051794716,0.000000000,0.000000000,1
desired_gr_scale,0.50,-12.0,0.030200413,0.124149478,0.492130209,0.000000000,0.000000000,0.103589432,0.000000000,0.000000000,1
desired_gr_scale,0.75,-12.0,0.045300620,0.186224216,0.738195314,0.000000000,0.000000000,0.155384147,0.000000000,0.000000000,1
desired_gr_scale,1.00,-12.0,0.060400826,0.248298955,0.984260419,0.000000000,0.000000000,0.207178863,0.000000000,0.000000000,1
threshold_sweep,0.00,-6.0,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,1
threshold_sweep,0.25,-6.0,0.000000000,0.000000000,0.000000000,0.162386014,0.000000000,0.000000000,0.176597320,0.000000000,1
threshold_sweep,0.50,-6.0,0.000000000,0.000000000,0.000000000,0.324772028,0.000000000,0.000000000,0.353194639,0.000000000,1
threshold_sweep,0.75,-6.0,0.001140656,0.000000000,0.219844061,0.483741502,0.000000000,0.012085476,0.510317930,0.000000000,1
threshold_sweep,1.00,-6.0,0.555217484,1.157014774,2.463170997,0.000000000,0.000000000,0.646762941,0.000000000,0.000000000,1
ratio_interp,0.00,-6.0,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,1
ratio_interp,0.25,-6.0,0.185072495,0.385671591,0.821056999,0.054128671,0.000000000,0.215587647,0.058865773,0.000000000,1
ratio_interp,0.50,-6.0,0.333130490,0.694208864,1.477902598,0.064954406,0.000000000,0.388057765,0.070638928,0.000000000,1
ratio_interp,0.75,-6.0,0.454268851,0.946648452,2.015321725,0.044287095,0.000000000,0.529169679,0.048162905,0.000000000,1
ratio_interp,1.00,-6.0,0.555217484,1.157014774,2.463170997,0.000000000,0.000000000,0.646762941,0.000000000,0.000000000,1
desired_gr_scale,0.00,-6.0,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,1
