id,sr,ch,segment_start_s,macro_mean_abs_db,macro_p95_abs_db,phrase_2s_reduction_db,phrase_1s_reduction_db,abs_50ms_spread_change_db,abs_100ms_spread_change_db,abs_10ms_p99_peak_change_db,E_gr_mean_db,F_gr_mean_db,abs_downstream_mean_gr_change_db,abs_downstream_p95_gr_change_db,downstream_mean_gr_retention,E_total_gain_rate_p95_db_s,F_total_gain_rate_p95_db_s,limiter_risk_D,limiter_risk_E,limiter_risk_F
V01,44100,2,80.000000000,0.777290881,2.000000000,-1.060401580,-0.600474410,0.498074196,0.219096916,0.050003767,4.280044079,4.251460075,0.028584003,0.028784275,0.993321563,31.782835364,32.725454867,False,False,False
V02,44100,2,35.000000000,0.941588819,2.000000000,0.596149508,0.579340497,0.386320355,0.137695486,1.264268041,5.208947659,5.180276394,0.028671265,0.000000000,0.994495766,33.725119114,33.929368913,False,False,False
V03,44100,2,55.000000000,0.135946020,0.515429497,0.162216685,0.259493454,0.048473382,0.155996237,0.394496441,3.909224510,3.920186758,0.010962248,0.010142326,1.002804200,30.756195933,31.298470177,False,False,False
V04,44100,2,45.000000000,0.517675817,2.000000000,-0.037926475,0.096476236,0.046202224,0.266927936,0.298085690,3.531082869,3.521415949,0.009666920,0.010732651,0.997262336,30.038682520,29.855741835,False,False,False
V05,48000,2,95.000000000,0.434538662,2.000000000,-0.287618531,-0.749260371,0.546137530,0.445469775,0.674172759,4.105530262,4.141313553,0.035783291,0.000486374,1.008715876,29.896867037,29.788097808,False,False,False
V06,48000,2,40.000000000,0.204121485,0.711235642,0.165484750,0.197714477,0.114487523,0.112593620,0.084396362,3.620050192,3.620488167,0.000437975,0.011478901,1.000120986,28.056883156,28.501878113,False,False,False
V07,48000,1,0.000000000,0.470391989,1.776017904,0.395284805,0.210391124,0.390939618,0.056818896,0.552751541,4.096080303,4.154200077,0.058119774,0.000006676,1.014189120,29.390709996,29.729340076,False,False,False
V08,48000,1,60.000000000,0.486379564,1.860319972,0.495381487,0.302996515,0.019626676,0.005941185,0.293969154,3.728787422,3.753337860,0.024550438,0.027322292,1.006584027,28.558700085,28.029474020,False,False,False
V09,48000,1,115.000000000,0.352757663,1.161548615,0.453933168,0.671565940,0.251882118,0.082917222,0.272836685,3.456821442,3.479864836,0.023043394,0.017439842,1.006666064,27.081801891,27.367734275,False,False,False
V10,44100,1,5.000000000,0.252923965,0.836705685,0.419996721,0.444249818,0.336442302,0.276985965,0.051980972,3.207252026,3.226509094,0.019257069,0.024089813,1.006004227,30.777318329,31.481721341,False,False,False
V11,44100,1,5.000000000,0.255761296,0.845009685,0.453815369,0.455675384,0.341299827,0.366158842,0.126390457,3.208626986,3.228032827,0.019405842,0.024257183,1.006048021,30.453582853,30.417479202,False,False,False
