id,sr,ch,segment_start_s,crest10_p95_change_db,gain_excursion_10ms_p99_db,gain_excursion_10ms_max_db,gain_excursion_50ms_p99_db,gain_excursion_50ms_max_db,gain_excursion_100ms_p99_db,gain_excursion_100ms_max_db,cut_rate_p99_db_s,boost_rate_p99_db_s,cut_ceiling_occ,boost_ceiling_occ,finite
V01,44100,2,80,0.002455262,0.014966011,0.014966011,0.074965991,0.074966073,0.149966002,0.149966002,1.500910521,0.601941347,0.038922147,0.0,True
V02,44100,2,35,0.003490722,0.014966011,0.014966071,0.074966013,0.074966073,0.149966002,0.149966061,1.503539085,0.599969923,0.018073822,0.0,True
V03,44100,2,55,0.001870950,0.014965996,0.014966011,0.074965984,0.074966013,0.149965987,0.149966002,1.500910521,0.600627065,0.0,0.0,True
V04,44100,2,45,0.002119499,0.014966011,0.014966011,0.074966013,0.074966073,0.149966002,0.149966002,1.500910521,0.601941347,0.052552028,0.0,True
V05,48000,2,95,0.001732246,0.014968753,0.014968783,0.074968755,0.074968815,0.149968758,0.149968803,1.500606537,0.600814819,0.042928472,0.0,True
V06,48000,2,40,0.000087589,0.014968753,0.014968783,0.074968755,0.074968815,0.149968758,0.149968803,1.500606537,0.600814819,0.0,0.0,True
V07,48000,1,0,0.001709573,0.014968753,0.014968783,0.074968755,0.074968815,0.149968743,0.149968803,1.500606537,0.600814819,0.003537269,0.0,True
V08,48000,1,60,0.000631160,0.014968753,0.014968812,0.074968755,0.074968815,0.149968758,0.149968863,1.500606537,0.600814819,0.016055324,0.0,True
V09,48000,1,115,0.001042118,0.014968753,0.014968812,0.074968755,0.074968815,0.149968758,0.149968803,1.502037048,0.600814819,0.0,0.0,True
V10,44100,1,5,0.000214230,0.014966011,0.014966011,0.074966013,0.074966073,0.149966002,0.149966002,1.500910521,0.601941347,0.0,0.0,True
V11,44100,1,5,0.000908675,0.014966011,0.014966011,0.074966013,0.074966073,0.149966002,0.149966061,1.500910521,0.601941347,0.0,0.0,True
