file,singer,stress,clean_mean_delta_db,clean_p95_delta_db,clean_ripple_delta_db,stress_reduction,solver_residual_db
f1:f1_arpeggios_belt_c_a.wav,f1,rumble_-12,0.002106462985890456,0.0010314319427164875,-3.9587280882810716e-05,0.7279354384540628,2.9203706866098855e-06
f1:f1_arpeggios_belt_c_a.wav,f1,rumble_-6,0.002106462985890456,0.0010314319427164875,-3.9587280882810716e-05,0.6767170257279196,2.9203706866098855e-06
f1:f1_arpeggios_belt_c_a.wav,f1,plosive,0.002106462985890456,0.0010314319427164875,-3.9587280882810716e-05,0.11561683531281242,2.9203706866098855e-06
f1:f1_arpeggios_breathy_a.wav,f1,rumble_-12,0.005150438053389106,0.017354210642515966,-5.046293209755477e-05,0.7417127320382226,2.0017312292175404e-06
f1:f1_arpeggios_breathy_a.wav,f1,rumble_-6,0.005150438053389106,0.017354210642515966,-5.046293209755477e-05,0.6947809612751914,2.0017312292175404e-06
f1:f1_arpeggios_breathy_a.wav,f1,plosive,0.005150438053389106,0.017354210642515966,-5.046293209755477e-05,0.16509285560796005,2.0017312292175404e-06
f2:f2_arpeggios_belt_a.wav,f2,rumble_-12,0.0048706182154849564,0.001030328859905616,1.498595625253063e-05,0.7483359931542983,3.943965545261108e-07
f2:f2_arpeggios_belt_a.wav,f2,rumble_-6,0.0048706182154849564,0.001030328859905616,1.498595625253063e-05,0.7137180491617736,3.943965545261108e-07
f2:f2_arpeggios_belt_a.wav,f2,plosive,0.0048706182154849564,0.001030328859905616,1.498595625253063e-05,0.15929439449601634,3.943965545261108e-07
f2:f2_arpeggios_breathy_a.wav,f2,rumble_-12,-0.0018499113856775828,0.0013557658649663296,-8.61613291674411e-05,0.7950048405207585,4.367938575722263e-06
f2:f2_arpeggios_breathy_a.wav,f2,rumble_-6,-0.0018499113856775828,0.0013557658649663296,-8.61613291674411e-05,0.7189242345526081,4.367938575722263e-06
f2:f2_arpeggios_breathy_a.wav,f2,plosive,-0.0018499113856775828,0.0013557658649663296,-8.61613291674411e-05,0.1731795087737189,4.367938575722263e-06
m1:m1_arpeggios_belt_a.wav,m1,rumble_-12,0.0019610882969161025,-0.001253378252449977,-5.9138386575358776e-05,0.7538783689822007,4.3743709055021895e-07
m1:m1_arpeggios_belt_a.wav,m1,rumble_-6,0.0019610882969161025,-0.001253378252449977,-5.9138386575358776e-05,0.7277203735069939,4.3743709055021895e-07
m1:m1_arpeggios_belt_a.wav,m1,plosive,0.0019610882969161025,-0.001253378252449977,-5.9138386575358776e-05,0.15409952828143725,4.3743709055021895e-07
m1:m1_arpeggios_breathy_a.wav,m1,rumble_-12,-0.005121410990255093,-0.00032759816302707634,-6.43589559292286e-05,0.7660108354655979,3.1568436296147695e-06
m1:m1_arpeggios_breathy_a.wav,m1,rumble_-6,-0.005121410990255093,-0.00032759816302707634,-6.43589559292286e-05,0.7253305167255188,3.1568436296147695e-06
m1:m1_arpeggios_breathy_a.wav,m1,plosive,-0.005121410990255093,-0.00032759816302707634,-6.43589559292286e-05,0.18537347994514553,3.1568436296147695e-06
