threshold,sample_rate,case,max_probability,active_occupancy_pct,event_count,max_active_duration_ms,first_onset_latency_ms,detected
0.65,44100,s,0.737090525176546,11.146384479717813,1,100.31746031746032,5.487528344671199,True
0.65,44100,sh,0.6023554594354809,0.0,0,0.0,,False
0.65,44100,ch,0.6091221219992478,0.0,0,0.0,,False
0.65,44100,t,0.7307868207375332,4.293272864701436,1,38.63945578231292,1.4965986394557818,True
0.65,44100,bright_vowel,0.08558636274491617,0.0,0,0.0,,False
0.65,44100,air,0.09319333624038213,0.0,0,0.0,,False
0.65,44100,breath,0.5019965157497732,0.0,0,0.0,,False
0.65,44100,falsetto,0.07763057159411325,0.0,0,0.0,,False
0.65,44100,female_upper,0.04872734450279918,0.0,0,0.0,,False
0.65,44100,distorted_vocal,0.05379974336308975,0.0,0,0.0,,False
0.65,48000,s,0.7465354404803449,11.148148148148149,1,100.33333333333333,5.4791666666666465,True
0.65,48000,sh,0.6107642151380893,0.0,0,0.0,,False
0.65,48000,ch,0.6179234324622555,0.0,0,0.0,,False
0.65,48000,t,0.739732075585014,4.407407407407407,1,39.666666666666664,1.4791666666666425,True
0.65,48000,bright_vowel,0.07968282173840971,0.0,0,0.0,,False
0.65,48000,air,0.09506405721018914,0.0,0,0.0,,False
0.65,48000,breath,0.5094946951819403,0.0,0,0.0,,False
0.65,48000,falsetto,0.07898749407222147,0.0,0,0.0,,False
0.65,48000,female_upper,0.04924506076685707,0.0,0,0.0,,False
0.65,48000,distorted_vocal,0.03068265175229239,0.0,0,0.0,,False
0.65,96000,s,0.7931994639268022,11.88888888888889,1,107.0,4.40625,True
0.65,96000,sh,0.6580518224637841,11.37962962962963,1,102.41666666666667,9.156249999999977,True
0.65,96000,ch,0.6657199855538517,6.435185185185185,1,57.916666666666664,3.4895833333333237,True
0.65,96000,t,0.7859188901588698,4.814814814814815,1,43.333333333333336,1.1562499999999698,True
0.65,96000,bright_vowel,0.09110201481072658,0.0,0,0.0,,False
0.65,96000,air,0.11112842897659615,0.0,0,0.0,,False
0.65,96000,breath,0.5540778456654741,0.0,0,0.0,,False
0.65,96000,falsetto,0.08783006052136838,0.0,0,0.0,,False
0.65,96000,female_upper,0.05477402153214759,0.0,0,0.0,,False
0.65,96000,distorted_vocal,0.06116597813514833,0.0,0,0.0,,False
0.62,44100,s,0.737090525176546,11.186696900982616,1,100.68027210884354,5.124716553287945,True
0.62,44100,sh,0.6023554594354809,0.0,0,0.0,,False
0.62,44100,ch,0.6091221219992478,0.0,0,0.0,,False
0.62,44100,t,0.7307868207375332,4.313429075333837,1,38.82086167800453,1.315192743764182,True
0.62,44100,bright_vowel,0.08558636274491617,0.0,0,0.0,,False
0.62,44100,air,0.09319333624038213,0.0,0,0.0,,False
0.62,44100,breath,0.5019965157497732,0.0,0,0.0,,False
0.62,44100,falsetto,0.07763057159411325,0.0,0,0.0,,False
