feature,coefficient,model
rel_local_score,0.17292190318047412,motion_r3
rel_log_score,0.14840562111008618,motion_r3
rel_persistence,0.1360013817636638,motion_r3
rel_q80,0.15309184331104328,motion_r3
rel_variability,-0.15065242135904544,motion_r3
rel_norm_q,0.10077794492312082,motion_r3
rel_prom_x_persist,-0.005944022724062641,motion_r3
rel_local_minus_log,0.09036602640908203,motion_r3
rel_cross_agreement,-0.1617157886918784,motion_r3
harmonic_protection,-0.244387540298195,motion_r3
candidate_rank_score,0.34493618946444243,motion_r3
log_frequency,0.026552352528607576,motion_r3
ridge_harmonic_closeness,-0.16336305777323668,motion_r3
ridge_motion_corr,0.14016335935347796,motion_r3
ridge_fixedness,-0.0144480383647006,motion_r3
ridge_motion_ratio,-0.20836707337696359,motion_r3
voiced_fraction,0.04966063549958745,motion_r3
pitch_span_norm,-0.0014031478370770897,motion_r3
