case_id,singer,label_value,label_name,source_basename,f0_median,f0_p75,f0_p90,f0_p95,voiced_fraction,max_score,false_trigger,pitch_bin
audit:f9:f9_arpeggios_belt_u.wav,f9,0,belt,f9_arpeggios_belt_u.wav,338.0281690140845,413.7931034482759,545.4545454545455,1000.0,1.0,0.620639835144664,0,p90_ge_400
audit:f9:f9_arpeggios_breathy_a.wav,f9,1,breathy,f9_arpeggios_breathy_a.wav,338.0281690140845,406.77966101694915,545.4545454545455,1000.0,1.0,0.6963707177676117,0,p90_ge_400
audit:f9:f9_arpeggios_breathy_e.wav,f9,1,breathy,f9_arpeggios_breathy_e.wav,333.3333333333333,400.0,533.3333333333334,590.9090909090884,1.0,0.6485831802902927,0,p90_ge_400
audit:f9:f9_arpeggios_c_fast_forte_a.wav,f9,2,fast_forte,f9_arpeggios_c_fast_forte_a.wav,333.3333333333333,413.7931034482759,535.7575757575759,587.4125874125871,1.0,0.800260647106642,1,p90_ge_400
audit:f9:f9_arpeggios_c_fast_forte_e.wav,f9,2,fast_forte,f9_arpeggios_c_fast_forte_e.wav,338.0281690140845,413.7931034482759,545.4545454545455,1000.0,1.0,0.784903197823961,1,p90_ge_400
audit:f9:f9_arpeggios_f_fast_piano_a.wav,f9,3,fast_piano,f9_arpeggios_f_fast_piano_a.wav,436.3636363636364,640.3326403326403,1000.0,1000.0,1.0,0.7653711421396522,1,p90_ge_400
audit:f9:f9_arpeggios_f_fast_piano_e.wav,f9,3,fast_piano,f9_arpeggios_f_fast_piano_e.wav,461.53846153846155,545.4545454545455,781.0344827586212,1000.0,1.0,0.7534901337652888,1,p90_ge_400
audit:f9:f9_arpeggios_lip_trill_a.wav,f9,6,lip_trill,f9_arpeggios_lip_trill_a.wav,342.85714285714283,413.7931034482759,558.1395348837209,1000.0,1.0,0.6690728774975823,0,p90_ge_400
audit:m10:m10_arpeggios_belt_u.wav,m10,0,belt,m10_arpeggios_belt_u.wav,196.72131147540983,400.0,476.23529411764724,1000.0,1.0,0.7081483457580615,0,p90_ge_400
audit:m10:m10_arpeggios_breathy_a.wav,m10,1,breathy,m10_arpeggios_breathy_a.wav,164.3835616438356,200.0,275.54858934169283,1000.0,1.0,0.8538005309339235,1,p90_lt_300
audit:m10:m10_arpeggios_breathy_e.wav,m10,1,breathy,m10_arpeggios_breathy_e.wav,164.3835616438356,200.0,642.0141620771068,1000.0,1.0,0.7646482991765006,1,p90_ge_400
audit:m10:m10_arpeggios_c_fast_forte_a.wav,m10,2,fast_forte,m10_arpeggios_c_fast_forte_a.wav,214.30279837359484,589.0243902439024,1000.0,1000.0,1.0,0.7580514925944516,1,p90_ge_400
audit:m10:m10_arpeggios_c_fast_forte_e.wav,m10,2,fast_forte,m10_arpeggios_c_fast_forte_e.wav,191.23809523809524,521.7391304347826,545.4545454545455,1000.0,1.0,0.7083675494628244,0,p90_ge_400
audit:m10:m10_arpeggios_c_fast_piano_a.wav,m10,3,fast_piano,m10_arpeggios_c_fast_piano_a.wav,167.83216783216784,206.02006688963212,1000.0,1000.0,1.0,0.7615579341314598,1,p90_ge_400
audit:m10:m10_arpeggios_c_fast_piano_e.wav,m10,3,fast_piano,m10_arpeggios_c_fast_piano_e.wav,175.1824817518248,256.6918325326012,489.7959183673469,1000.0,1.0,0.8019157490133508,1,p90_ge_400
audit:m10:m10_arpeggios_lip_trill_a.wav,m10,6,lip_trill,m10_arpeggios_lip_trill_a.wav,166.66666666666666,209.1533180778032,1000.0,1000.0,1.0,0.6867264719581085,0,p90_ge_400
audit:m11:m11_arpeggios_belt_u.wav,m11,0,belt,m11_arpeggios_belt_u.wav,169.01408450704224,201.68067226890756,269.6629213483146,1000.0,1.0,0.6342658824904441,0,p90_lt_300
audit:m11:m11_arpeggios_breathy_a.wav,m11,1,breathy,m11_arpeggios_breathy_a.wav,165.51724137931035,195.1219512195122,258.06451612903226,263.7362637362637,1.0,0.6931049453066972,0,p90_lt_300
audit:m11:m11_arpeggios_breathy_e.wav,m11,1,breathy,m11_arpeggios_breathy_e.wav,163.26530612244898,195.1219512195122,258.06451612903226,679.1208791208724,1.0,0.5551003725477094,0,p90_lt_300
audit:m11:m11_arpeggios_c_fast_forte_a.wav,m11,2,fast_forte,m11_arpeggios_c_fast_forte_a.wav,150.47169811320754,279.06976744186045,1000.0,1000.0,1.0,0.7116592661274949,0,p90_ge_400
audit:m11:m11_arpeggios_c_fast_forte_e.wav,m11,2,fast_forte,m11_arpeggios_c_fast_forte_e.wav,151.8987341772152,200.01388985346205,250.0,1000.0,1.0,0.649222348389169,0,p90_lt_300
audit:m11:m11_arpeggios_c_fast_piano_a.wav,m11,3,fast_piano,m11_arpeggios_c_fast_piano_a.wav,161.0738255033557,252.6315789473684,960.0,1000.0,1.0,0.7376592384214008,0,p90_ge_400
audit:m11:m11_arpeggios_c_fast_piano_e.wav,m11,3,fast_piano,m11_arpeggios_c_fast_piano_e.wav,154.84515484515484,216.7890520694259,1000.0,1000.0,1.0,0.7057992395265456,0,p90_ge_400
audit:m11:m11_arpeggios_lip_trill_a.wav,m11,6,lip_trill,m11_arpeggios_lip_trill_a.wav,165.51724137931035,211.45784816022356,343.8509316770187,1000.0,0.9964285714285714,0.7100361121783134,0,p90_300_400
audit:m9:m9_arpeggios_belt_o.wav,m9,0,belt,m9_arpeggios_belt_o.wav,158.94039735099338,190.47619047619048,255.31914893617022,260.8695652173913,1.0,0.6143078036393649,0,p90_lt_300
audit:m9:m9_arpeggios_belt_u.wav,m9,0,belt,m9_arpeggios_belt_u.wav,162.16216216216216,193.5483870967742,258.06451612903226,263.7362637362637,1.0,0.6851928981663742,0,p90_lt_300
audit:m9:m9_arpeggios_breathy_a.wav,m9,1,breathy,m9_arpeggios_breathy_a.wav,328.7671232876712,387.0967741935484,521.7391304347826,533.3333333333334,1.0,0.7370651224131614,0,p90_ge_400
audit:m9:m9_arpeggios_breathy_e.wav,m9,1,breathy,m9_arpeggios_breathy_e.wav,328.7671232876712,393.44262295081967,521.7391304347826,521.7391304347826,1.0,0.7282544024740327,0,p90_ge_400
audit:m9:m9_arpeggios_c_fast_forte_a.wav,m9,2,fast_forte,m9_arpeggios_c_fast_forte_a.wav,260.8695652173913,375.0,519.5189639222941,558.1395348837209,1.0,0.7005404084105847,0,p90_ge_400
audit:m9:m9_arpeggios_c_fast_forte_e.wav,m9,2,fast_forte,m9_arpeggios_c_fast_forte_e.wav,311.68831168831167,400.0,510.63829787234044,1000.0,1.0,0.6450654130794684,0,p90_ge_400
audit:m9:m9_arpeggios_c_fast_piano_a.wav,m9,3,fast_piano,m9_arpeggios_c_fast_piano_a.wav,333.3333333333333,413.9161462979482,1000.0,1000.0,1.0,0.744314579901275,1,p90_ge_400
audit:m9:m9_arpeggios_c_fast_piano_e.wav,m9,3,fast_piano,m9_arpeggios_c_fast_piano_e.wav,324.3243243243243,406.77966101694915,539.3939393939395,1000.0,1.0,0.7127636208611247,0,p90_ge_400
