case_id,singer,label_value,label_name,exercise_family,source_basename,old_f0_p90,old_f0_p95,old_voiced_fraction,yin_f0_median,yin_f0_p75,yin_f0_p90,yin_f0_p95,yin_reliable_fraction,acf_yin_disagreement_gt300c,acf_yin_median_abs_cents,max_score,false_trigger,pitch_bin
reaudit:f9:f9_arpeggios_belt_a.wav,f9,0,belt,arpeggio,f9_arpeggios_belt_a.wav,533.3333333333334,545.4545454545455,1.0,327.3492611268248,403.17777609498,528.730140900449,542.0085371768403,0.9052132701421801,0.015706806282722512,6.566856937589589,0.6803055260991194,0,yin_p90_ge_400
reaudit:f9:f9_arpeggios_breathy_i.wav,f9,1,breathy,arpeggio,f9_arpeggios_breathy_i.wav,533.3333333333334,1000.0,1.0,334.25476070053946,398.36016576848493,510.527296670231,533.0489900170709,0.9351145038167938,0.0,5.306845895534977,0.6568975319868958,0,yin_p90_ge_400
reaudit:f9:f9_arpeggios_c_fast_forte_i.wav,f9,2,fast_forte,arpeggio,f9_arpeggios_c_fast_forte_i.wav,545.4545454545455,792.6829268292684,1.0,281.1387186801256,401.57895316745896,442.28764975223737,542.8207259097941,0.8648648648648649,0.0,5.001574977398884,0.727100186396007,0,yin_p90_ge_400
reaudit:f9:f9_arpeggios_f_fast_piano_i.wav,f9,3,fast_piano,arpeggio,f9_arpeggios_f_fast_piano_i.wav,754.5454545454569,1000.0,1.0,375.86525658311507,511.34517756351926,612.0196473207185,692.575213981207,0.78,0.0,6.9625494901224245,0.7211632682342702,0,yin_p90_ge_400
reaudit:f9:f9_row_spoken.wav,f9,11,spoken,other,f9_row_spoken.wav,767.3624288425071,857.1428571428571,0.9855907780979827,240.76837909536385,256.21374863494907,277.7163552190861,320.2511941508593,0.8040345821325648,0.0,4.279509777404044,0.6727180359736304,0,yin_p90_lt_300
reaudit:f9:f9_caro_straight.wav,f9,12,straight,other,f9_caro_straight.wav,827.5862068965517,857.1428571428571,0.9913544668587896,437.3345658935943,523.447730045466,573.7599903891269,581.6857907633357,0.8386167146974063,0.003436426116838488,7.085381725930308,0.6646539021957196,0,yin_p90_ge_400
reaudit:f9:f9_caro_vibrato.wav,f9,16,vibrato,other,f9_caro_vibrato.wav,571.4285714285714,600.0,1.0,449.4976685127249,505.078422367637,568.0477412108447,589.5583642904347,0.968299711815562,0.0,8.029107775982174,0.649735981777298,0,yin_p90_ge_400
reaudit:f9:f9_long_forte_a.wav,f9,4,forte,other,f9_long_forte_a.wav,750.0,750.0,1.0,648.8603632240331,752.46832203026,1087.1785742127518,1103.473053332061,0.9481268011527377,0.20972644376899696,8.13961029881051,0.7258168362299854,0,yin_p90_ge_400
reaudit:f9:f9_scales_belt_a.wav,f9,0,belt,scale,f9_scales_belt_a.wav,600.0,1000.0,1.0,363.9703530695869,501.0086825320493,542.1268923080004,574.1267358521055,0.8980263157894737,0.018315018315018316,6.265024119989459,0.6989700125780733,0,yin_p90_ge_400
reaudit:f9:f9_scales_breathy_a.wav,f9,1,breathy,scale,f9_scales_breathy_a.wav,585.3658536585366,626.7206477732791,1.0,399.1823114621923,570.7333172780395,1051.4763557024341,1088.101154990556,0.9510086455331412,0.20606060606060606,8.43495023260493,0.670138670582462,0,yin_p90_ge_400
reaudit:m10:m10_arpeggios_belt_a.wav,m10,0,belt,arpeggio,m10_arpeggios_belt_a.wav,827.5862068965517,1000.0,1.0,177.8655020694235,211.3932870787266,272.5957913362156,279.7276648604594,0.30584192439862545,0.0,2.909476963858978,0.7586432960985994,1,yin_unresolved
reaudit:m10:m10_arpeggios_breathy_i.wav,m10,1,breathy,arpeggio,m10_arpeggios_breathy_i.wav,857.1428571428571,1000.0,1.0,165.34772352451185,193.21018003941785,258.33451438990556,262.89417937851607,0.8611111111111112,0.0,3.0725791374594245,0.6995418507645608,0,yin_p90_lt_300
reaudit:m10:m10_arpeggios_c_fast_forte_i.wav,m10,2,fast_forte,arpeggio,m10_arpeggios_c_fast_forte_i.wav,1000.0,1000.0,1.0,174.42595955980647,257.04363134202123,284.7885171706468,286.1911678184398,0.14583333333333334,0.0,2.9998224091929364,0.7872892583505631,1,yin_unresolved
reaudit:m10:m10_arpeggios_c_fast_piano_i.wav,m10,3,fast_piano,arpeggio,m10_arpeggios_c_fast_piano_i.wav,1000.0,1000.0,1.0,177.65757980833735,209.3116892517708,254.6265508784818,265.84695184012924,0.5232558139534884,0.0,3.175024621290254,0.7285750172414914,0,yin_p90_lt_300
reaudit:m10:m10_row_spoken.wav,m10,11,spoken,other,m10_row_spoken.wav,931.5555555555571,1000.0,0.9942363112391931,97.7169613269024,109.86303403706808,130.24069946779406,137.37142460461467,0.6282420749279539,0.0045871559633027525,1.8889730574410224,0.6565097581786743,0,yin_p90_lt_300
reaudit:m10:m10_caro_straight.wav,m10,12,straight,other,m10_caro_straight.wav,292.6829268292683,705.8823529411765,1.0,220.45259529012193,267.31733031010026,575.1640231768484,576.868349499651,0.8703170028818443,0.1357615894039735,4.550656467511386,0.684811164957501,0,yin_p90_ge_400
reaudit:m10:m10_long_forte_a.wav,m10,4,forte,other,m10_long_forte_a.wav,521.7391304347826,976.923076923076,1.0,284.32058622149384,339.4341936850745,377.2107708443642,380.30660583563025,0.4322766570605187,0.0,3.968258245876492,0.718698959165818,0,yin_p90_300_400
reaudit:m10:m10_long_inhaled_a.wav,m10,5,inhaled,other,m10_long_inhaled_a.wav,960.0,1000.0,1.0,296.84942886838206,362.06177431310334,383.4756789140358,387.37442699469807,0.6337448559670782,0.03896103896103896,5.863926880418482,0.8736626037207161,1,yin_p90_300_400
reaudit:m10:m10_scales_belt_a.wav,m10,0,belt,scale,m10_scales_belt_a.wav,774.1935483870968,1000.0,1.0,186.42986695529336,263.63876632207985,344.74067384232853,710.270268347598,0.5529411764705883,0.06382978723404255,3.672479038564023,0.7507512351645782,1,yin_p90_300_400
reaudit:m10:m10_scales_breathy_a.wav,m10,1,breathy,scale,m10_scales_breathy_a.wav,827.5862068965517,1000.0,1.0,171.9606878801834,239.4844621296529,257.8164405184149,277.24010918804777,0.8043478260869565,0.0,3.11020255373716,0.7598333413028886,1,yin_p90_lt_300
reaudit:m11:m11_arpeggios_belt_a.wav,m11,0,belt,arpeggio,m11_arpeggios_belt_a.wav,470.211915233913,1000.0,1.0,171.561745163809,201.30505409185542,258.2475427618154,262.4256913516354,0.7579250720461095,0.0038022813688212928,2.9170348435212574,0.6541756820209964,0,yin_p90_lt_300
reaudit:m11:m11_arpeggios_breathy_i.wav,m11,1,breathy,arpeggio,m11_arpeggios_breathy_i.wav,259.18653576437595,263.7362637362637,1.0,164.2650427558411,193.56446515288968,254.8092980423577,259.7774001382862,0.9538904899135446,0.0,2.946492091572443,0.5761085787030645,0,yin_p90_lt_300
reaudit:m11:m11_arpeggios_c_fast_forte_i.wav,m11,2,fast_forte,arpeggio,m11_arpeggios_c_fast_forte_i.wav,1000.0,1000.0,1.0,127.63600623809398,189.42496055306927,252.23352971121528,253.94407408015456,0.4423076923076923,0.0,2.4095667382700157,0.6977635915840491,0,yin_p90_lt_300
reaudit:m11:m11_arpeggios_c_fast_piano_i.wav,m11,3,fast_piano,arpeggio,m11_arpeggios_c_fast_piano_i.wav,268.46441947565546,1000.0,1.0,130.67704243982976,191.78260710861775,260.21552256204814,263.2254169280233,0.7263157894736842,0.0,2.9607072702031667,0.6785396828352991,0,yin_p90_lt_300
reaudit:m11:m11_row_spoken.wav,m11,11,spoken,other,m11_row_spoken.wav,175.1824817518248,571.4285714285714,0.9913544668587896,141.93686521912105,155.09301438978082,170.94933659491946,172.7756414618896,0.8069164265129684,0.0,2.4558909138172558,0.6519379978370405,0,yin_p90_lt_300
