case_id,old_f0_p90,old_f0_p95,yin_f0_median,yin_f0_p90,yin_f0_p95,yin_reliable_fraction,acf_yin_disagreement_gt300c,acf_yin_median_abs_cents,pitch_bin
reaudit:f9:f9_arpeggios_belt_a.wav,533.3333333333334,545.4545454545455,327.3492611268248,528.730140900449,542.0085371768403,0.9052132701421801,0.015706806282722512,6.566856937589589,yin_p90_ge_400
reaudit:f9:f9_arpeggios_breathy_i.wav,533.3333333333334,1000.0,334.25476070053946,510.527296670231,533.0489900170709,0.9351145038167938,0.0,5.306845895534977,yin_p90_ge_400
reaudit:f9:f9_arpeggios_c_fast_forte_i.wav,545.4545454545455,792.6829268292684,281.1387186801256,442.28764975223737,542.8207259097941,0.8648648648648649,0.0,5.001574977398884,yin_p90_ge_400
reaudit:f9:f9_arpeggios_f_fast_piano_i.wav,754.5454545454569,1000.0,375.86525658311507,612.0196473207185,692.575213981207,0.78,0.0,6.9625494901224245,yin_p90_ge_400
reaudit:f9:f9_row_spoken.wav,767.3624288425071,857.1428571428571,240.76837909536385,277.7163552190861,320.2511941508593,0.8040345821325648,0.0,4.279509777404044,yin_p90_lt_300
reaudit:f9:f9_caro_straight.wav,827.5862068965517,857.1428571428571,437.3345658935943,573.7599903891269,581.6857907633357,0.8386167146974063,0.003436426116838488,7.085381725930308,yin_p90_ge_400
reaudit:f9:f9_caro_vibrato.wav,571.4285714285714,600.0,449.4976685127249,568.0477412108447,589.5583642904347,0.968299711815562,0.0,8.029107775982174,yin_p90_ge_400
reaudit:f9:f9_long_forte_a.wav,750.0,750.0,648.8603632240331,1087.1785742127518,1103.473053332061,0.9481268011527377,0.20972644376899696,8.13961029881051,yin_p90_ge_400
reaudit:f9:f9_scales_belt_a.wav,600.0,1000.0,363.9703530695869,542.1268923080004,574.1267358521055,0.8980263157894737,0.018315018315018316,6.265024119989459,yin_p90_ge_400
reaudit:f9:f9_scales_breathy_a.wav,585.3658536585366,626.7206477732791,399.1823114621923,1051.4763557024341,1088.101154990556,0.9510086455331412,0.20606060606060606,8.43495023260493,yin_p90_ge_400
reaudit:m10:m10_arpeggios_belt_a.wav,827.5862068965517,1000.0,177.8655020694235,272.5957913362156,279.7276648604594,0.30584192439862545,0.0,2.909476963858978,yin_unresolved
reaudit:m10:m10_arpeggios_breathy_i.wav,857.1428571428571,1000.0,165.34772352451185,258.33451438990556,262.89417937851607,0.8611111111111112,0.0,3.0725791374594245,yin_p90_lt_300
reaudit:m10:m10_arpeggios_c_fast_forte_i.wav,1000.0,1000.0,174.42595955980647,284.7885171706468,286.1911678184398,0.14583333333333334,0.0,2.9998224091929364,yin_unresolved
reaudit:m10:m10_arpeggios_c_fast_piano_i.wav,1000.0,1000.0,177.65757980833735,254.6265508784818,265.84695184012924,0.5232558139534884,0.0,3.175024621290254,yin_p90_lt_300
reaudit:m10:m10_row_spoken.wav,931.5555555555571,1000.0,97.7169613269024,130.24069946779406,137.37142460461467,0.6282420749279539,0.0045871559633027525,1.8889730574410224,yin_p90_lt_300
reaudit:m10:m10_caro_straight.wav,292.6829268292683,705.8823529411765,220.45259529012193,575.1640231768484,576.868349499651,0.8703170028818443,0.1357615894039735,4.550656467511386,yin_p90_ge_400
reaudit:m10:m10_long_forte_a.wav,521.7391304347826,976.923076923076,284.32058622149384,377.2107708443642,380.30660583563025,0.4322766570605187,0.0,3.968258245876492,yin_p90_300_400
reaudit:m10:m10_long_inhaled_a.wav,960.0,1000.0,296.84942886838206,383.4756789140358,387.37442699469807,0.6337448559670782,0.03896103896103896,5.863926880418482,yin_p90_300_400
reaudit:m10:m10_scales_belt_a.wav,774.1935483870968,1000.0,186.42986695529336,344.74067384232853,710.270268347598,0.5529411764705883,0.06382978723404255,3.672479038564023,yin_p90_300_400
reaudit:m10:m10_scales_breathy_a.wav,827.5862068965517,1000.0,171.9606878801834,257.8164405184149,277.24010918804777,0.8043478260869565,0.0,3.11020255373716,yin_p90_lt_300
reaudit:m11:m11_arpeggios_belt_a.wav,470.211915233913,1000.0,171.561745163809,258.2475427618154,262.4256913516354,0.7579250720461095,0.0038022813688212928,2.9170348435212574,yin_p90_lt_300
reaudit:m11:m11_arpeggios_breathy_i.wav,259.18653576437595,263.7362637362637,164.2650427558411,254.8092980423577,259.7774001382862,0.9538904899135446,0.0,2.946492091572443,yin_p90_lt_300
reaudit:m11:m11_arpeggios_c_fast_forte_i.wav,1000.0,1000.0,127.63600623809398,252.23352971121528,253.94407408015456,0.4423076923076923,0.0,2.4095667382700157,yin_p90_lt_300
reaudit:m11:m11_arpeggios_c_fast_piano_i.wav,268.46441947565546,1000.0,130.67704243982976,260.21552256204814,263.2254169280233,0.7263157894736842,0.0,2.9607072702031667,yin_p90_lt_300
reaudit:m11:m11_row_spoken.wav,175.1824817518248,571.4285714285714,141.93686521912105,170.94933659491946,172.7756414618896,0.8069164265129684,0.0,2.4558909138172558,yin_p90_lt_300
reaudit:m11:m11_caro_straight.wav,285.7142857142857,289.1566265060241,236.70471133236836,284.3278614366839,288.1930412607419,0.9481268011527377,0.02127659574468085,4.132315343417207,yin_p90_lt_300
reaudit:m11:m11_caro_vibrato.wav,571.4285714285714,705.8823529411765,242.7615955641925,291.27281209937746,569.7739563208823,0.7780979827089337,0.03333333333333333,4.402196997810847,yin_p90_lt_300
reaudit:m11:m11_long_forte_a.wav,514.2857142857142,1000.0,265.6062144654287,364.18179108936624,367.1997952407007,0.7809798270893372,0.0,3.676566290247296,yin_p90_300_400
reaudit:m11:m11_scales_belt_a.wav,289.1566265060241,1000.0,188.19097529948732,266.8052662153598,286.08026563340565,0.7091633466135459,0.0,3.105959238086134,yin_p90_lt_300
reaudit:m11:m11_scales_breathy_a.wav,296.2962962962963,1000.0,176.53742666331712,266.67269024267426,289.75407446094243,0.9029850746268657,0.012396694214876033,3.2375055167460722,yin_p90_lt_300
reaudit:m9:m9_caro_vibrato.wav,258.06451612903226,263.7362637362637,216.85537462518664,256.8695616381679,262.46191923677935,0.9769452449567724,0.0058997050147492625,3.911591450881462,yin_p90_lt_300
reaudit:m9:m9_arpeggios_belt_a.wav,260.8695652173913,923.0769230769231,163.1012729095183,252.7977758671217,258.14264122410776,0.8530259365994236,0.0,3.1405544345162335,yin_p90_lt_300
reaudit:m9:m9_arpeggios_breathy_i.wav,510.63829787234044,518.4088806660499,344.36556995880846,509.49243122168,513.5986108056352,0.9567723342939481,0.0,5.910362195887597,yin_p90_ge_400
reaudit:m9:m9_arpeggios_c_fast_forte_i.wav,614.5896656534944,1000.0,277.63985510079783,441.4953184919446,493.63257882439365,0.8888888888888888,0.0,6.067417705476875,yin_p90_ge_400
reaudit:m9:m9_arpeggios_c_fast_piano_i.wav,1000.0,1000.0,271.02616427196625,448.67872619422405,507.24809765017096,0.7699115044247787,0.0,5.17685308743603,yin_p90_ge_400
