feature,coefficient,model
rel_local_score,0.2328364031832909,static_score
rel_log_score,0.034791375687866825,static_score
rel_persistence,0.10013283278788873,static_score
rel_q80,0.3227691026938359,static_score
rel_variability,-0.22942827402550073,static_score
rel_norm_q,0.04389839668513138,static_score
rel_prom_x_persist,0.0667015842286173,static_score
rel_local_minus_log,-0.15052546330493208,static_score
rel_cross_agreement,-0.08307001977641783,static_score
harmonic_protection,-0.21029706135369303,static_score
candidate_rank_score,0.26553132448327166,static_score
log_frequency,-0.06555749898905021,static_score
rel_local_score,0.409828669423559,morph_score
rel_log_score,-0.10487456143434154,morph_score
rel_persistence,0.30749674071141336,morph_score
rel_q80,0.6250495571382553,morph_score
rel_variability,-0.21034309026926334,morph_score
rel_norm_q,0.05946306958342561,morph_score
rel_prom_x_persist,-0.06740921800588351,morph_score
rel_local_minus_log,-0.4371715448166036,morph_score
rel_cross_agreement,-0.02925195840902183,morph_score
harmonic_protection,-0.2732047647772174,morph_score
candidate_rank_score,0.21379684042124053,morph_score
log_frequency,-0.2600289405865076,morph_score
rel_longest_active_run_frac,-0.0947967212313807,morph_score
rel_active_run_count_norm,0.23750007593065908,morph_score
rel_median_active_run_frac,-0.3650366267748073,morph_score
rel_temporal_entropy,0.14914043667056334,morph_score
rel_top10_temporal_concentration,0.10827205772111677,morph_score
