case_id,max_score,label_name,singer,exercise_family,false_trigger,model
external:f9:f9_arpeggios_belt_a.wav,0.8155904801035513,belt,f9,arpeggio,0,temporal_morphology_r5
external:f9:f9_arpeggios_breathy_i.wav,0.6931403296411391,breathy,f9,arpeggio,0,temporal_morphology_r5
external:f9:f9_arpeggios_c_fast_forte_i.wav,0.8476961076047005,fast_forte,f9,arpeggio,0,temporal_morphology_r5
external:f9:f9_arpeggios_f_fast_piano_i.wav,0.7264503050122801,fast_piano,f9,arpeggio,0,temporal_morphology_r5
external:f9:f9_caro_straight.wav,0.7528971777985591,straight,f9,other,0,temporal_morphology_r5
external:f9:f9_caro_vibrato.wav,0.7623171252964497,vibrato,f9,other,0,temporal_morphology_r5
external:f9:f9_long_forte_a.wav,0.7987121765896874,forte,f9,other,0,temporal_morphology_r5
external:f9:f9_row_spoken.wav,0.7677450129786235,spoken,f9,other,0,temporal_morphology_r5
external:f9:f9_scales_belt_a.wav,0.7576841539970592,belt,f9,scale,0,temporal_morphology_r5
external:f9:f9_scales_breathy_a.wav,0.7139674812072039,breathy,f9,scale,0,temporal_morphology_r5
external:m10:m10_arpeggios_belt_a.wav,0.8019294414758064,belt,m10,arpeggio,0,temporal_morphology_r5
external:m10:m10_arpeggios_breathy_i.wav,0.8476029378530946,breathy,m10,arpeggio,0,temporal_morphology_r5
external:m10:m10_arpeggios_c_fast_forte_i.wav,0.8545030769232033,fast_forte,m10,arpeggio,0,temporal_morphology_r5
external:m10:m10_arpeggios_c_fast_piano_i.wav,0.7706323230511033,fast_piano,m10,arpeggio,0,temporal_morphology_r5
external:m10:m10_caro_straight.wav,0.8541909509587343,straight,m10,other,0,temporal_morphology_r5
external:m10:m10_long_forte_a.wav,0.7785695258546945,forte,m10,other,0,temporal_morphology_r5
external:m10:m10_long_inhaled_a.wav,0.7909335499037432,inhaled,m10,other,0,temporal_morphology_r5
external:m10:m10_row_spoken.wav,0.8207036101236062,spoken,m10,other,0,temporal_morphology_r5
external:m10:m10_scales_belt_a.wav,0.7441232809891962,belt,m10,scale,0,temporal_morphology_r5
external:m10:m10_scales_breathy_a.wav,0.7612687293570631,breathy,m10,scale,0,temporal_morphology_r5
external:m11:m11_arpeggios_belt_a.wav,0.7273628250826215,belt,m11,arpeggio,0,temporal_morphology_r5
external:m11:m11_arpeggios_breathy_i.wav,0.8244385545510999,breathy,m11,arpeggio,0,temporal_morphology_r5
external:m11:m11_arpeggios_c_fast_forte_i.wav,0.7792916272496547,fast_forte,m11,arpeggio,0,temporal_morphology_r5
external:m11:m11_arpeggios_c_fast_piano_i.wav,0.7028891538383684,fast_piano,m11,arpeggio,0,temporal_morphology_r5
external:m11:m11_caro_straight.wav,0.7244108120181982,straight,m11,other,0,temporal_morphology_r5
external:m11:m11_caro_vibrato.wav,0.8472944077684796,vibrato,m11,other,0,temporal_morphology_r5
external:m11:m11_long_forte_a.wav,0.8012641110496713,forte,m11,other,0,temporal_morphology_r5
external:m11:m11_row_spoken.wav,0.8490708403142653,spoken,m11,other,0,temporal_morphology_r5
external:m11:m11_scales_belt_a.wav,0.8410895193792426,belt,m11,scale,0,temporal_morphology_r5
external:m11:m11_scales_breathy_a.wav,0.7324598753964612,breathy,m11,scale,0,temporal_morphology_r5
external:m9:m9_arpeggios_belt_a.wav,0.7876156684940958,belt,m9,arpeggio,0,temporal_morphology_r5
external:m9:m9_arpeggios_breathy_i.wav,0.6344968688010905,breathy,m9,arpeggio,0,temporal_morphology_r5
external:m9:m9_arpeggios_c_fast_forte_i.wav,0.6864794299553739,fast_forte,m9,arpeggio,0,temporal_morphology_r5
external:m9:m9_arpeggios_c_fast_piano_i.wav,0.7788927370414095,fast_piano,m9,arpeggio,0,temporal_morphology_r5
external:m9:m9_caro_straight.wav,0.7806440335232792,straight,m9,other,0,temporal_morphology_r5
external:m9:m9_caro_vibrato.wav,0.6472953959886375,vibrato,m9,other,0,temporal_morphology_r5
external:m9:m9_long_forte_a.wav,0.6550688578983441,forte,m9,other,0,temporal_morphology_r5
external:m9:m9_row_spoken.wav,0.7284319283910986,spoken,m9,other,0,temporal_morphology_r5
external:m9:m9_scales_belt_a.wav,0.7741443396702724,belt,m9,scale,0,temporal_morphology_r5
external:m9:m9_scales_breathy_a.wav,0.7053940817138916,breathy,m9,scale,0,temporal_morphology_r5
