case_id,max_score,label_name,singer,exercise_family,false_trigger,model
external:f9:f9_arpeggios_belt_a.wav,0.719271791221295,belt,f9,arpeggio,0,static_r2_style
external:f9:f9_arpeggios_breathy_i.wav,0.68880287393204,breathy,f9,arpeggio,0,static_r2_style
external:f9:f9_arpeggios_c_fast_forte_i.wav,0.7605742240841876,fast_forte,f9,arpeggio,0,static_r2_style
external:f9:f9_arpeggios_f_fast_piano_i.wav,0.7501643024791408,fast_piano,f9,arpeggio,0,static_r2_style
external:f9:f9_caro_straight.wav,0.6401321644933966,straight,f9,other,0,static_r2_style
external:f9:f9_caro_vibrato.wav,0.7594099702576729,vibrato,f9,other,0,static_r2_style
external:f9:f9_long_forte_a.wav,0.7271634531850171,forte,f9,other,0,static_r2_style
external:f9:f9_row_spoken.wav,0.7545158570934307,spoken,f9,other,0,static_r2_style
external:f9:f9_scales_belt_a.wav,0.6989539822027464,belt,f9,scale,0,static_r2_style
external:f9:f9_scales_breathy_a.wav,0.7028457776272565,breathy,f9,scale,0,static_r2_style
external:m10:m10_arpeggios_belt_a.wav,0.8013913486533223,belt,m10,arpeggio,1,static_r2_style
external:m10:m10_arpeggios_breathy_i.wav,0.8197956021677284,breathy,m10,arpeggio,1,static_r2_style
external:m10:m10_arpeggios_c_fast_forte_i.wav,0.8670313891837507,fast_forte,m10,arpeggio,1,static_r2_style
external:m10:m10_arpeggios_c_fast_piano_i.wav,0.843620040263438,fast_piano,m10,arpeggio,1,static_r2_style
external:m10:m10_caro_straight.wav,0.695723747507223,straight,m10,other,0,static_r2_style
external:m10:m10_long_forte_a.wav,0.7502870464643282,forte,m10,other,0,static_r2_style
external:m10:m10_long_inhaled_a.wav,0.786342267499723,inhaled,m10,other,0,static_r2_style
external:m10:m10_row_spoken.wav,0.790459585599943,spoken,m10,other,0,static_r2_style
external:m10:m10_scales_belt_a.wav,0.8021660728089833,belt,m10,scale,1,static_r2_style
external:m10:m10_scales_breathy_a.wav,0.7349625671831136,breathy,m10,scale,0,static_r2_style
external:m11:m11_arpeggios_belt_a.wav,0.7690753309461379,belt,m11,arpeggio,0,static_r2_style
external:m11:m11_arpeggios_breathy_i.wav,0.7119270042411633,breathy,m11,arpeggio,0,static_r2_style
external:m11:m11_arpeggios_c_fast_forte_i.wav,0.8174152794592001,fast_forte,m11,arpeggio,1,static_r2_style
external:m11:m11_arpeggios_c_fast_piano_i.wav,0.7893460384348358,fast_piano,m11,arpeggio,0,static_r2_style
external:m11:m11_caro_straight.wav,0.7081455594981253,straight,m11,other,0,static_r2_style
external:m11:m11_caro_vibrato.wav,0.7347936970740504,vibrato,m11,other,0,static_r2_style
external:m11:m11_long_forte_a.wav,0.7545076084949961,forte,m11,other,0,static_r2_style
external:m11:m11_row_spoken.wav,0.7838876179109695,spoken,m11,other,0,static_r2_style
external:m11:m11_scales_belt_a.wav,0.7944898580738567,belt,m11,scale,1,static_r2_style
external:m11:m11_scales_breathy_a.wav,0.6894668143463848,breathy,m11,scale,0,static_r2_style
external:m9:m9_arpeggios_belt_a.wav,0.7416636536097231,belt,m9,arpeggio,0,static_r2_style
external:m9:m9_arpeggios_breathy_i.wav,0.672696830300107,breathy,m9,arpeggio,0,static_r2_style
external:m9:m9_arpeggios_c_fast_forte_i.wav,0.7489889992248784,fast_forte,m9,arpeggio,0,static_r2_style
external:m9:m9_arpeggios_c_fast_piano_i.wav,0.7723947285229288,fast_piano,m9,arpeggio,0,static_r2_style
external:m9:m9_caro_straight.wav,0.6976251395553439,straight,m9,other,0,static_r2_style
external:m9:m9_caro_vibrato.wav,0.6743212872020058,vibrato,m9,other,0,static_r2_style
external:m9:m9_long_forte_a.wav,0.6941993120887573,forte,m9,other,0,static_r2_style
external:m9:m9_row_spoken.wav,0.7619316590277099,spoken,m9,other,0,static_r2_style
external:m9:m9_scales_belt_a.wav,0.7232368563647803,belt,m9,scale,0,static_r2_style
external:m9:m9_scales_breathy_a.wav,0.6448062831587524,breathy,m9,scale,0,static_r2_style
