feature,coefficient,model,seed,variant
rel_local_score,0.2328364031832909,static_20261003,20261003,static
rel_log_score,0.034791375687866825,static_20261003,20261003,static
rel_persistence,0.10013283278788873,static_20261003,20261003,static
rel_q80,0.3227691026938359,static_20261003,20261003,static
rel_variability,-0.22942827402550073,static_20261003,20261003,static
rel_norm_q,0.04389839668513138,static_20261003,20261003,static
rel_prom_x_persist,0.0667015842286173,static_20261003,20261003,static
rel_local_minus_log,-0.15052546330493208,static_20261003,20261003,static
rel_cross_agreement,-0.08307001977641783,static_20261003,20261003,static
harmonic_protection,-0.21029706135369303,static_20261003,20261003,static
candidate_rank_score,0.26553132448327166,static_20261003,20261003,static
log_frequency,-0.06555749898905021,static_20261003,20261003,static
rel_local_score,0.24387223566528224,run_20261003,20261003,run_only
rel_log_score,0.022465311308990498,run_20261003,20261003,run_only
rel_persistence,0.2408116295584915,run_20261003,20261003,run_only
rel_q80,0.33558257973076516,run_20261003,20261003,run_only
rel_variability,-0.07210699024142561,run_20261003,20261003,run_only
rel_norm_q,0.05025687572990459,run_20261003,20261003,run_only
rel_prom_x_persist,0.08819751946166346,run_20261003,20261003,run_only
rel_local_minus_log,-0.20980123144205196,run_20261003,20261003,run_only
rel_cross_agreement,-0.03625113620765513,run_20261003,20261003,run_only
harmonic_protection,-0.23346847708451077,run_20261003,20261003,run_only
candidate_rank_score,0.22511355318647455,run_20261003,20261003,run_only
log_frequency,-0.14121894346299807,run_20261003,20261003,run_only
rel_longest_active_run_frac,-0.0859831655806673,run_20261003,20261003,run_only
rel_active_run_count_norm,0.15942053205661394,run_20261003,20261003,run_only
rel_median_active_run_frac,-0.3315403566673561,run_20261003,20261003,run_only
rel_local_score,0.6181200524641396,dist_20261003,20261003,dist_only
rel_log_score,-0.1000895877330347,dist_20261003,20261003,dist_only
rel_persistence,0.008978169947234426,dist_20261003,20261003,dist_only
rel_q80,0.8917449266535509,dist_20261003,20261003,dist_only
rel_variability,-0.7606887769113687,dist_20261003,20261003,dist_only
rel_norm_q,0.0480445436347748,dist_20261003,20261003,dist_only
rel_prom_x_persist,-0.17592121350114953,dist_20261003,20261003,dist_only
rel_local_minus_log,-0.4161689008649092,dist_20261003,20261003,dist_only
rel_cross_agreement,-0.07170018680051621,dist_20261003,20261003,dist_only
harmonic_protection,-0.2688091963365902,dist_20261003,20261003,dist_only
candidate_rank_score,0.24369627598041876,dist_20261003,20261003,dist_only
log_frequency,-0.2666420004614638,dist_20261003,20261003,dist_only
rel_temporal_entropy,0.39489931036943776,dist_20261003,20261003,dist_only
rel_top10_temporal_concentration,0.2706652887999002,dist_20261003,20261003,dist_only
rel_local_score,0.409828669423559,full_20261003,20261003,full
rel_log_score,-0.10487456143434154,full_20261003,20261003,full
rel_persistence,0.30749674071141336,full_20261003,20261003,full
rel_q80,0.6250495571382553,full_20261003,20261003,full
rel_variability,-0.21034309026926334,full_20261003,20261003,full
rel_norm_q,0.05946306958342561,full_20261003,20261003,full
rel_prom_x_persist,-0.06740921800588351,full_20261003,20261003,full
rel_local_minus_log,-0.4371715448166036,full_20261003,20261003,full
rel_cross_agreement,-0.02925195840902183,full_20261003,20261003,full
harmonic_protection,-0.2732047647772174,full_20261003,20261003,full
candidate_rank_score,0.21379684042124053,full_20261003,20261003,full
log_frequency,-0.2600289405865076,full_20261003,20261003,full
rel_longest_active_run_frac,-0.0947967212313807,full_20261003,20261003,full
rel_active_run_count_norm,0.23750007593065908,full_20261003,20261003,full
rel_median_active_run_frac,-0.3650366267748073,full_20261003,20261003,full
rel_temporal_entropy,0.14914043667056334,full_20261003,20261003,full
rel_top10_temporal_concentration,0.10827205772111677,full_20261003,20261003,full
rel_local_score,0.23981189556737112,full_same_c_20261003,20261003,full_same_c
rel_log_score,0.029577045459530882,full_same_c_20261003,20261003,full_same_c
rel_persistence,0.15760221551132247,full_same_c_20261003,20261003,full_same_c
rel_q80,0.31665792824938277,full_same_c_20261003,20261003,full_same_c
rel_variability,-0.03718778766395019,full_same_c_20261003,20261003,full_same_c
rel_norm_q,0.04237542176605973,full_same_c_20261003,20261003,full_same_c
rel_prom_x_persist,0.06004452307946859,full_same_c_20261003,20261003,full_same_c
rel_local_minus_log,-0.20638992118496347,full_same_c_20261003,20261003,full_same_c
rel_cross_agreement,-0.03881817733324472,full_same_c_20261003,20261003,full_same_c
harmonic_protection,-0.24885627654389567,full_same_c_20261003,20261003,full_same_c
candidate_rank_score,0.22073999784487305,full_same_c_20261003,20261003,full_same_c
log_frequency,-0.16986816102738825,full_same_c_20261003,20261003,full_same_c
rel_longest_active_run_frac,-0.0696712793981297,full_same_c_20261003,20261003,full_same_c
rel_active_run_count_norm,0.12575380840734132,full_same_c_20261003,20261003,full_same_c
rel_median_active_run_frac,-0.32474766588293447,full_same_c_20261003,20261003,full_same_c
rel_temporal_entropy,0.12468371582865113,full_same_c_20261003,20261003,full_same_c
rel_top10_temporal_concentration,0.006700522636199518,full_same_c_20261003,20261003,full_same_c
rel_local_score,-1.1039313867535077,static_20261013,20261013,static
rel_log_score,0.16129142815487135,static_20261013,20261013,static
rel_persistence,1.0600542906177994,static_20261013,20261013,static
rel_q80,1.8189911087127197,static_20261013,20261013,static
rel_variability,-0.5055640423628679,static_20261013,20261013,static
rel_norm_q,-0.023490762030194404,static_20261013,20261013,static
rel_prom_x_persist,-1.1033991002811496,static_20261013,20261013,static
rel_local_minus_log,0.38155361247707187,static_20261013,20261013,static
rel_cross_agreement,-0.22966187685169273,static_20261013,20261013,static
harmonic_protection,-0.2559873290402626,static_20261013,20261013,static
candidate_rank_score,0.32958844655650715,static_20261013,20261013,static
log_frequency,-0.12597306641461095,static_20261013,20261013,static
rel_local_score,-0.9625913989089906,run_20261013,20261013,run_only
rel_log_score,0.19740507723801928,run_20261013,20261013,run_only
rel_persistence,1.6590861619680775,run_20261013,20261013,run_only
rel_q80,1.8537791441249654,run_20261013,20261013,run_only
rel_variability,-0.2505996991356627,run_20261013,20261013,run_only
rel_norm_q,-0.011245249150689954,run_20261013,20261013,run_only
rel_prom_x_persist,-1.6958720279527433,run_20261013,20261013,run_only
rel_local_minus_log,0.39653399188421223,run_20261013,20261013,run_only
rel_cross_agreement,-0.1528425747770571,run_20261013,20261013,run_only
harmonic_protection,-0.24845658050704839,run_20261013,20261013,run_only
candidate_rank_score,0.24607002444110782,run_20261013,20261013,run_only
log_frequency,-0.3113504822744762,run_20261013,20261013,run_only
rel_longest_active_run_frac,0.1358582069306612,run_20261013,20261013,run_only
rel_active_run_count_norm,0.665015853050398,run_20261013,20261013,run_only
rel_median_active_run_frac,-0.2278142688205477,run_20261013,20261013,run_only
rel_local_score,-0.27943392866753486,dist_20261013,20261013,dist_only
rel_log_score,0.15609925201014196,dist_20261013,20261013,dist_only
