seed,model,C,top3,top5,mrr,strong_top5,internal_clean_false,external_clean_false
20261003,static,0.03,0.125,0.25,0.17148762051287206,0.3333333333333333,0.375,0.175
20261003,run_only,0.03,0.125,0.25,0.16416040100250626,0.3333333333333333,0.125,0.025
20261003,dist_only,0.3,0.125,0.21875,0.18624913232836995,0.25,0.625,0.25
20261003,full,0.1,0.09375,0.25,0.1621441268354968,0.3333333333333333,0.125,0.0
20261003,full_same_c,0.03,0.15625,0.25,0.16810856304857852,0.3333333333333333,0.125,0.025
20261013,static,1.0,0.21875,0.34375,0.22565239721900907,0.2857142857142857,0.25,0.25
20261013,run_only,1.0,0.28125,0.28125,0.22700675415700572,0.35714285714285715,0.0,0.175
20261013,dist_only,0.3,0.25,0.34375,0.23506065389289074,0.35714285714285715,0.25,0.35
20261013,full,1.0,0.28125,0.3125,0.2400928740216182,0.35714285714285715,0.0,0.2
20261013,full_same_c,1.0,0.28125,0.3125,0.2400928740216182,0.35714285714285715,0.0,0.2
