case_id,baseline_trigger,veto_trigger,seed
external:f9:f9_arpeggios_belt_a.wav,0,0,20261003
external:f9:f9_arpeggios_breathy_i.wav,0,0,20261003
external:f9:f9_arpeggios_c_fast_forte_i.wav,0,0,20261003
external:f9:f9_arpeggios_f_fast_piano_i.wav,0,0,20261003
external:f9:f9_caro_straight.wav,0,0,20261003
external:f9:f9_caro_vibrato.wav,0,0,20261003
external:f9:f9_long_forte_a.wav,0,0,20261003
external:f9:f9_row_spoken.wav,0,0,20261003
external:f9:f9_scales_belt_a.wav,0,0,20261003
external:f9:f9_scales_breathy_a.wav,0,0,20261003
external:m10:m10_arpeggios_belt_a.wav,1,1,20261003
external:m10:m10_arpeggios_breathy_i.wav,1,1,20261003
external:m10:m10_arpeggios_c_fast_forte_i.wav,1,1,20261003
external:m10:m10_arpeggios_c_fast_piano_i.wav,1,1,20261003
external:m10:m10_caro_straight.wav,0,0,20261003
external:m10:m10_long_forte_a.wav,0,0,20261003
external:m10:m10_long_inhaled_a.wav,0,0,20261003
external:m10:m10_row_spoken.wav,0,0,20261003
external:m10:m10_scales_belt_a.wav,1,0,20261003
external:m10:m10_scales_breathy_a.wav,0,0,20261003
external:m11:m11_arpeggios_belt_a.wav,0,0,20261003
external:m11:m11_arpeggios_breathy_i.wav,0,0,20261003
external:m11:m11_arpeggios_c_fast_forte_i.wav,1,1,20261003
external:m11:m11_arpeggios_c_fast_piano_i.wav,0,0,20261003
external:m11:m11_caro_straight.wav,0,0,20261003
external:m11:m11_caro_vibrato.wav,0,0,20261003
external:m11:m11_long_forte_a.wav,0,0,20261003
external:m11:m11_row_spoken.wav,0,0,20261003
external:m11:m11_scales_belt_a.wav,1,1,20261003
external:m11:m11_scales_breathy_a.wav,0,0,20261003
external:m9:m9_arpeggios_belt_a.wav,0,0,20261003
external:m9:m9_arpeggios_breathy_i.wav,0,0,20261003
external:m9:m9_arpeggios_c_fast_forte_i.wav,0,0,20261003
external:m9:m9_arpeggios_c_fast_piano_i.wav,0,0,20261003
external:m9:m9_caro_straight.wav,0,0,20261003
external:m9:m9_caro_vibrato.wav,0,0,20261003
external:m9:m9_long_forte_a.wav,0,0,20261003
external:m9:m9_row_spoken.wav,0,0,20261003
external:m9:m9_scales_belt_a.wav,0,0,20261003
external:m9:m9_scales_breathy_a.wav,0,0,20261003
external:f9:f9_arpeggios_belt_a.wav,0,0,20261013
external:f9:f9_arpeggios_breathy_i.wav,0,0,20261013
external:f9:f9_arpeggios_c_fast_forte_i.wav,0,0,20261013
external:f9:f9_arpeggios_f_fast_piano_i.wav,1,0,20261013
external:f9:f9_caro_straight.wav,0,0,20261013
external:f9:f9_caro_vibrato.wav,0,0,20261013
external:f9:f9_long_forte_a.wav,1,0,20261013
external:f9:f9_row_spoken.wav,0,0,20261013
external:f9:f9_scales_belt_a.wav,1,0,20261013
external:f9:f9_scales_breathy_a.wav,0,0,20261013
external:m10:m10_arpeggios_belt_a.wav,1,0,20261013
external:m10:m10_arpeggios_breathy_i.wav,0,0,20261013
external:m10:m10_arpeggios_c_fast_forte_i.wav,1,0,20261013
external:m10:m10_arpeggios_c_fast_piano_i.wav,0,0,20261013
external:m10:m10_caro_straight.wav,0,0,20261013
external:m10:m10_long_forte_a.wav,0,0,20261013
external:m10:m10_long_inhaled_a.wav,1,0,20261013
external:m10:m10_row_spoken.wav,1,0,20261013
external:m10:m10_scales_belt_a.wav,1,0,20261013
external:m10:m10_scales_breathy_a.wav,0,0,20261013
external:m11:m11_arpeggios_belt_a.wav,0,0,20261013
external:m11:m11_arpeggios_breathy_i.wav,0,0,20261013
external:m11:m11_arpeggios_c_fast_forte_i.wav,0,0,20261013
external:m11:m11_arpeggios_c_fast_piano_i.wav,0,0,20261013
external:m11:m11_caro_straight.wav,0,0,20261013
external:m11:m11_caro_vibrato.wav,1,0,20261013
external:m11:m11_long_forte_a.wav,0,0,20261013
external:m11:m11_row_spoken.wav,1,0,20261013
external:m11:m11_scales_belt_a.wav,0,0,20261013
external:m11:m11_scales_breathy_a.wav,0,0,20261013
external:m9:m9_arpeggios_belt_a.wav,0,0,20261013
external:m9:m9_arpeggios_breathy_i.wav,0,0,20261013
external:m9:m9_arpeggios_c_fast_forte_i.wav,0,0,20261013
external:m9:m9_arpeggios_c_fast_piano_i.wav,0,0,20261013
external:m9:m9_caro_straight.wav,0,0,20261013
external:m9:m9_caro_vibrato.wav,0,0,20261013
external:m9:m9_long_forte_a.wav,0,0,20261013
external:m9:m9_row_spoken.wav,0,0,20261013
external:m9:m9_scales_belt_a.wav,0,0,20261013
external:m9:m9_scales_breathy_a.wav,0,0,20261013
