case,sample_rate,dry_vopripro_peak_gr_db,prepped_vopripro_peak_gr_db,peak_gr_improvement_db,dry_vopripro_mean_gr_db,prepped_vopripro_mean_gr_db,mean_gr_delta_db,plosive_max_reduction_db,macro_max_abs_gain_db,sibilance_max_reduction_db,all_finite,event_dry_peak_gr_db,event_prepped_peak_gr_db,event_peak_gr_improvement_db,post_event_mean_gr_delta_db,dry_phrase_spread_db,prepped_phrase_spread_db,phrase_spread_improvement_db
neutral_body,44100,4.318517062017184,4.318517062017184,0.0,2.8702768630286606,2.7762613938576077,-0.09401546917105276,0.0,0.8203760651583372,0.0,True,3.1970907398540014,3.0063338492195206,0.19075689063448076,-0.09026375359278349,0.0,0.0,0.0
plosive_on_body,44100,4.385641481474379,4.318517062017184,0.06712441945719494,2.886715068429003,2.790266926748074,-0.09644814168092909,0.0,0.8203760651583372,0.0,True,4.385641481474379,4.112731044624368,0.2729104368500108,-0.18664766577587333,0.0,0.0,0.0
sibilance_on_body,44100,5.987487519174252,5.968585806912383,0.018901712261868653,2.8948104317587307,2.7613294900747976,-0.1334809416839331,0.0,1.1595098452307382,1.1944910452838484,True,5.987487519174252,5.968585806912383,0.018901712261868653,-0.3347412845376576,0.0,0.0,0.0
phrase_step,44100,5.988470828331786,5.97298247861796,0.0154883497138254,3.546263696293999,3.4156088466007284,-0.13065484969327035,0.0,1.6241586642942925,0.0,True,0.0,0.0,0.0,0.0,8.0,7.176644009010218,0.8233559909897821
neutral_body,48000,4.33275945131238,4.33275945131238,0.0,2.8705965418912176,2.77657895073251,-0.09401759115870785,0.0,0.8203736801610936,0.0,True,3.1970075256658035,3.006269561637443,0.19073796402836063,-0.09026852610611646,0.0,0.0,0.0
plosive_on_body,48000,4.385601138833573,4.33275945131238,0.05284168752119367,2.887036009865196,2.7905863549056016,-0.09644965495959393,0.0,0.8203736801610936,0.0,True,4.385601138833573,4.112689820764108,0.27291131806946556,-0.18664847406971008,0.0,0.0,0.0
sibilance_on_body,48000,5.9886887751987175,5.9679192656666515,0.02076950953206591,2.8935753767004373,2.75761079320161,-0.13596458349882717,0.0,1.1722034878934213,1.2726546851957243,True,5.9886887751987175,5.9679192656666515,0.02076950953206591,-0.3393583250421157,0.0,0.0,0.0
phrase_step,48000,5.988481923841844,5.9729341840044485,0.015547739837395547,3.5448511310055735,3.414198680170485,-0.13065245083508853,0.0,1.6241727951543667,0.0,True,0.0,0.0,0.0,0.0,8.00012043899277,7.176763364011418,0.8233570749813524
neutral_body,96000,4.378914210696683,4.378914210696683,0.0,2.8716287068582944,2.7776057417631037,-0.09402296509519086,0.0,0.8203487522827176,0.0,True,3.196727166759793,3.0060353301455165,0.1906918366142767,-0.09028261180968,0.0,0.0,0.0
plosive_on_body,96000,4.385465279638462,4.378914210696683,0.006551068941778482,2.8880740868898425,2.7916193653997077,-0.09645472149013463,0.0,0.8203487522827176,0.0,True,4.385465279638462,4.112499600656074,0.27296567898238777,-0.18664393795326628,0.0,0.0,0.0
sibilance_on_body,96000,5.98936000347132,5.9634525343970886,0.025907469074231138,2.895054255073175,2.7624697956835518,-0.1325844593896236,0.0,1.168283098441061,1.485732842507363,True,5.98936000347132,5.9634525343970886,0.025907469074231138,-0.32870076061954867,0.0,0.0,0.0
phrase_step,96000,5.988494410604168,5.972997119747071,0.015497290857096502,3.5456581452401674,3.415001298464705,-0.13065684677546233,0.0,1.6241636634385404,0.0,True,0.0,0.0,0.0,0.0,8.000060294086886,7.176703322672054,0.8233569714148317
