case,sample_rate,dry_vopripro_peak_gr_db,prepped_vopripro_peak_gr_db,peak_gr_improvement_db,dry_vopripro_mean_gr_db,prepped_vopripro_mean_gr_db,mean_gr_delta_db,plosive_max_reduction_db,plosive_max_probability,macro_max_abs_gain_db,sibilance_max_reduction_db,sibilance_max_probability,all_finite,event_dry_peak_gr_db,event_prepped_peak_gr_db,event_peak_gr_improvement_db,post_event_mean_gr_delta_db,dry_phrase_spread_db,prepped_phrase_spread_db,phrase_spread_improvement_db
neutral_body,44100,4.318517062017184,4.318517062017184,0.0,2.8702768630286606,2.7762613938576077,-0.09401546917105276,0.0,0.16179745130288842,0.8203760651583372,0.0,0.0901949898565891,True,3.1970907398540014,3.0063338492195206,0.19075689063448076,-0.09026375359278349,0.0,0.0,0.0
plosive_on_body,44100,5.954682445070693,5.94156510208813,0.013117342982563507,3.171648704004818,3.0682894170084904,-0.10335928699632715,1.1517627449484598,0.8498187159535602,1.0571907514626793,0.0,0.09047298798489033,True,5.954682445070693,5.94156510208813,0.013117342982563507,-0.4019372559442984,0.0,0.0,0.0
sibilance_on_body,44100,4.581039041298941,4.29531777780459,0.28572126349435045,3.427140510642423,3.4211689723586063,-0.005971538283816769,0.0,0.18522628100290353,0.0,0.8669398628595236,0.743112316624295,True,4.581039041298941,4.29531777780459,0.28572126349435045,0.01425402085696481,0.0,0.0,0.0
phrase_step,44100,5.988470828331786,5.97298247861796,0.0154883497138254,3.546263696293999,3.4156088466007284,-0.13065484969327035,0.0,0.16179745121916395,1.6241586642942925,0.0,0.09019498933066195,True,0.0,0.0,0.0,0.0,8.0,7.176644009010218,0.8233559909897821
neutral_body,48000,4.33275945131238,4.33275945131238,0.0,2.8705965418912176,2.77657895073251,-0.09401759115870785,0.0,0.16196282999993014,0.8203736801610936,0.0,0.1111603371519905,True,3.1970075256658035,3.006269561637443,0.19073796402836063,-0.09026852610611646,0.0,0.0,0.0
plosive_on_body,48000,5.954700357184257,5.94154540824177,0.013154948942487366,3.1723786921662005,3.0690850184027645,-0.10329367376343604,1.1529730544782604,0.8498911784120375,1.0571055461131131,0.0,0.11143864351537418,True,5.954700357184257,5.94154540824177,0.013154948942487366,-0.40185588698405006,0.0,0.0,0.0
sibilance_on_body,48000,4.586976208856277,4.286623456399958,0.30035275245631876,3.4295437520494656,3.423292257491031,-0.006251494558434691,0.0,0.18513345593846575,0.0,0.9019606369784178,0.7514924983671727,True,4.586976208856277,4.286623456399958,0.30035275245631876,0.014990044629579202,0.0,0.0,0.0
phrase_step,48000,5.988481923841844,5.9729341840044485,0.015547739837395547,3.5448511310055735,3.414198680170485,-0.13065245083508853,0.0,0.1619628299152422,1.6241727951543667,0.0,0.11116033640762986,True,0.0,0.0,0.0,0.0,8.00012043899277,7.176763364011418,0.8233570749813524
neutral_body,88200,4.366061843292356,4.366061843292356,0.0,2.871321818321021,2.7772998177323784,-0.09402200058864289,0.0,0.16106797189512137,0.8203492083180539,0.0,0.39153251581482174,True,3.196776260842694,3.0060755216305135,0.19070073921218045,-0.09027987149059857,0.0,0.0,0.0
plosive_on_body,88200,5.954718515966644,5.941594260776516,0.013124255190128054,3.17233318877591,3.0690067333319,-0.10332645544401027,1.1517584542725836,0.8498833648519122,1.0571124072651754,0.0,0.39172807728265036,True,5.954718515966644,5.941594260776516,0.013124255190128054,-0.4019264140762626,0.0,0.0,0.0
sibilance_on_body,88200,4.582910233609728,4.197299881330655,0.38561035227907325,3.4419291708855635,3.433809461161799,-0.00811970972376448,0.0,0.18464268358525396,0.0,1.071023568351322,0.7920286307518619,True,4.582910233609728,4.197299881330655,0.38561035227907325,0.01895845759224235,0.0,0.0,0.0
phrase_step,88200,5.98848615543866,5.9729965300518835,0.015489625386776673,3.546244595614438,3.415585773742599,-0.13065882187183905,0.0,0.16106797181187962,1.6241693828652377,0.0,0.3915325071506035,True,0.0,0.0,0.0,0.0,8.0,7.176642689465005,0.8233573105349947
neutral_body,96000,4.378914210696683,4.378914210696683,0.0,2.8716287068582944,2.7776057417631037,-0.09402296509519086,0.0,0.16130785732714914,0.8203487522827176,0.0,0.44368171079252333,True,3.196727166759793,3.0060353301455165,0.1906918366142767,-0.09028261180968,0.0,0.0,0.0
plosive_on_body,96000,5.954721494828482,5.941584264933438,0.013137229895044733,3.1724265911346694,3.0691211889124577,-0.10330540222221195,1.152451470961452,0.8498582733652797,1.0570799571435407,0.0,0.44385810331244524,True,5.954721494828482,5.941584264933438,0.013137229895044733,-0.40189525297035145,0.0,0.0,0.0
sibilance_on_body,96000,4.582455800837744,4.1891428458687505,0.39331295496899354,3.4430600068299415,3.4347775257039963,-0.008282481125945197,0.0,0.18462537515163385,0.0,1.0872995130355203,0.7958571098647149,True,4.582455800837744,4.1891428458687505,0.39331295496899354,0.01936226927765139,0.0,0.0,0.0
phrase_step,96000,5.988494410604168,5.972997119747071,0.015497290857096502,3.5456581452401674,3.415001298464705,-0.13065684677546233,0.0,0.16130785724290256,1.6241636634385404,0.0,0.44368169881751784,True,0.0,0.0,0.0,0.0,8.000060294086886,7.176703322672054,0.8233569714148317
